id,en_question,score,true_answer,pred_answer,cos score
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,4,"['amusement park', 'park', ""children's park"", 'outdoor playground']",Public parks or zoos,0.519333482
Al-en-43,What is a popular indoor activity for families in China?,5,"['dou dizhu', 'mahjong', 'play mahjong', 'watch tv']",watching TV,0.776786387
An-ar-02,Where do university students have lunch in China?,5,"['canteen', 'university cafeteria']",In the university canteen.,0.78777492
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),5,"['1', '6', '7']",6,0.625335276
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",5,"['9', '8', '15', '11', '10']",10,0.657500505
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)",5,"['3', '2']",2,0.563979983
An-ar-34,What is the most popular sport played in a team at school in China?,5,"['football', 'soccer', 'basketball', 'volleyball']",Basketball,0.622309983
An-ar-35,Who is the most popular sport commentator in China?,5,['huang jianxiang'],Huang Jianxiang,0.683002055
An-ar-36,What is the most popular sport team in China?,5,"['real madrid', 'table tennis team', 'manchester united', 'ping pong team', 'guangzhou evergrande', 'shandong luneng', 'national diving team']",The Chinese National Table Tennis Team,0.655223846
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,4,"['bar', 'barbecue restaurant', 'pub', 'family', 'home']","Sports bars, homes, and public squares.",0.426533222
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)",5,['3'],3,0.64077884
Ca-sp-06,Which is the most important meal of the day to people from China?,5,"['breakfast', 'lunch', 'dinner']",Dinner,0.689749658
Ca-sp-08,What is the most common ingredient used in China's diet?,5,"['garlic', 'scallions', 'rice', 'ginger', 'spring onion', 'noodles', 'white flour']",Rice,0.719281018
Ca-sp-09,What do people from China usually eat for dessert?,2,"['mooncake', 'cake', 'osmanthus cake', 'pastry', 'cakes and pastries']",Red bean soup,0.243498981
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,2,"['friday', 'whenever it happens, it happens', 'saturday']",Sunday,0.508709133
Ca-sp-14,Which is the most popular hot drink in China?,4,"['milk tea', 'tea']",Green tea,0.60013628
Ca-sp-19,What do young people from China usually drink at the night club?,4,"['cocktail', 'foreign liquor', 'beer', 'alcohol']",Beer or Baijiu,0.474355549
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),5,"['1', '2']",2,0.563979983
Ca-sp-29,What tradition is there in China for New Year's Eve?,5,"[""staying up late on new year's eve"", 'set off fireworks', 'have the reunion dinner', 'making dumplings', 'set off firecrackers', 'watch the spring festival gala', 'eat dumplings', 'family reunion', 'lucky money', 'send red envelope']",Having a family reunion dinner,0.751255691
Ca-sp-38,Which is the typical type of house for a family in China?,5,"['apartment building', 'self-built house', 'house', 'apartment', 'villa']",Apartment,0.662927508
Ca-sp-41,Where do the dependent elderly usually live in China?,3,"['rural area', ""children's home"", 'hiring nursing staff to take care', 'countryside', 'rural hometown', 'home', 'nursing home']",With their adult children.,0.330387801
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",1,"['2', '24', '14']",18,0.348448515
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",1,"['1', '0', '3 days']",3–4,0.317605913
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,4,"['mountain', 'beach', 'countryside views', 'seaside', 'ancient town', 'popular city attractions', 'rural beauty', 'garden']",Beach or historical sites,0.586078107
Gu-ch-05,What sports do seniors like the most in China?,5,"['square dancing', 'walk', 'square dance', 'tai chi', 'playing tai chi', 'practice tai chi']",Tai Chi,0.715894699
Gu-ch-06,What sports do men like to play the most in China?,5,"['basketball', 'table tennis', 'football', 'soccer', 'ping pong']",Basketball and soccer,0.488510817
Gu-ch-07,Who is the most famous basketball player in China?,5,"['wang zhizhi', 'mu tiezhu', 'yi jianlian', 'zheng haixia', 'yao ming', 'ming yao', 'tiezhu mu', 'haixia zheng', 'jianlian yi', 'zhizhi wang']",Yao Ming,0.685984552
Gu-ch-08,What is the most popular sports among children in China?,5,"['basketball', 'table tennis', 'football', 'running', 'soccer']",Basketball,0.622309983
Gu-ch-09,What sports do women like to play the most in China?,5,"['table tennis', 'square dance', 'running', 'ping pong', 'badminton', 'yoga']",Badminton and Table Tennis,0.588326156
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,5,"['table tennis', 'weightlifting', 'ping pong', 'diving']",Table Tennis,0.67690444
Gu-ch-15,What sports do male students in university like to play the most in China?,5,"['basketball', 'football', 'video game', 'soccer', 'badminton', 'swimming']",Basketball,0.622309983
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)",5,['3'],3,0.64077884
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)",4,"['1', '2']",1,0.545344532
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)",5,['6'],6,0.625335276
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)",5,['9'],9,0.677209914
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['3', '6', '5', '11', '10']",6,0.625335336
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)",5,['4'],4,0.571916521
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['16:00', '16:30', '17:00']",16:00,0.793867826
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)",5,"['1', '0', '2']",1,0.545344532
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,5,"['friday', 'saturday']",Friday,0.711890161
Ji-ko-03,Which region/city has the highest number of financial companies in China?,5,"['beijing', 'hong kong', 'shanghai']",Shanghai,0.683403552
Ji-ko-07,What is the most famous private company in China?,5,"['jd.com', 'jd.com, inc.', 'alibaba', 'huawei', 'tencent']",Alibaba Group,0.617901087
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)",2,"['40', '72', '60', '50', '76', '45']",44,0.424020559
Ji-ko-09,What do people typically eat during company get-together in China?,4,"['dumplings', 'barbecue', 'fruit', 'hot pot', 'dim sum', 'cake', 'cold dish', 'hot dishes']",Hot pot or Peking duck,0.629322171
Ji-ko-14,What is the representative export item of China?,2,"['shoes', 'rice', 'yiwu small commodities', 'textile', 'mobile phone', 'clothes']",Electronics,0.321189582
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",3,"['1', '0.5', '1.5']",2,0.288127005
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,5,"['family', 'maternal home', 'postpartum care center', 'home', 'hospital']",home,0.55207634
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,5,['carnation'],Carnation,0.763545752
Ji-ko-22,What do people especially spend their first salary on in China's society?,4,"['gift', 'presents', 'treat friends/family to a meal', 'clothes', 'shopping']",A gift for parents,0.59245348
Ji-ko-24,What is the most preferred recreational facility among children in China?,4,"['little train', 'amusement park', 'swing', 'disney', 'slide']",Public playgrounds or amusement parks,0.572529495
Ji-ko-25,What are the family-related holidays in China?,5,"['double ninth festival', 'lunar new year', 'mid-autumn festival', 'chinese new year', 'dragon boat festival', ""mother's day"", ""father's day"", 'qingming festival', 'spring festival']","Chinese New Year, Mid-Autumn Festival, Qingming Festival, and Dragon Boat Festival.",0.578264773
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,4,"['work', 'buy a house', 'get married', 'college graduate']","Starting school, graduating from university, getting a job, and getting married.",0.521580517
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,3,"['health care products', 'money', 'fruit basket', 'food', 'alcohol', 'milk']",Fruit or tea,0.526467741
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,5,"['one month old', 'first month', 'birth feast', 'hundred days']",One-month birthday,0.653293848
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,5,"['90', '20', '60', '18', '80']",60th birthday,0.57098943
Ji-ko-31,Where do middle and high school students in China usually study for exams?,3,"['classroom', 'school', 'can study anywhere', 'extracurricular tutoring class']",At home or in school libraries,0.434313387
Ji-ko-33,Where do high school students in China usually go after dinner?,3,"['extracurricular tutoring class', 'go home', 'playground', 'school classroom', 'dormitory', 'student accommodation', 'home']",They usually go to their rooms to study or do homework.,0.48123008
Ji-ko-34,How do elementary school students in China go to school?,4,"['take the bus', 'walk', 'parent pick-up and drop-off']","Mostly by walking or biking, some are dropped off by parents.",0.57470715
Ji-ko-35,What is the most common form of private education in China?,2,"['foreign language school', 'private school', 'international exchange', 'internation school', 'kindergarten']",Tutoring or cram schools,0.47441411
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,5,"['english', 'mathematics', 'physics']",Mathematics academy,0.430258781
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,5,"['school uniform', 'sportswear']",School uniforms,0.765120625
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,5,"['computer science', 'law', 'finance', 'aerospace science', 'medicine', 'architecture']",Medicine,0.626985073
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,5,"['piano', 'erhu', 'guitar', 'electronic keyboard', 'violin', 'harmonica', 'vertical flute']",Piano,0.654740453
Ji-ko-40,What do high school students typically do during break time in schools in China?,4,"['go to the toilet', 'study', 'exercise', 'do homework', 'chat', 'sleep', 'play', 'sports']","They usually study, chat with friends, or play games on their phones.",0.293639451
Ji-ko-41,What kind of shoes do students wear in schools in China?,5,"['leather shoes', 'sneakers']",Sneakers,0.644819319
Ji-ko-42,What are the required subjects in China's university entrance exam?,4,"['mathematics', 'math', 'english', 'literature', 'chinese']","Chinese, Mathematics, English, and a choice between Science (Physics, Chemistry, Biology) and Humanities (Politics, History, Geography).",0.370859325
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,4,"['beijing', 'zhejiang', 'shanghai']",Haidian District in Beijing,0.507419825
Ji-ko-45,What do people look forward to the most at university festivals in China?,2,"['holiday', 'national day', 'dance', 'party']",Performances and food stalls,0.282504678
Jo-sp-01,What is the second most popular sport in China?,5,"['soccer', 'basketball', 'football']",Basketball,0.622309983
Jo-sp-02,What is the most popular sport played without a ball in China?,2,"['guandan', 'square dance', 'jump rope', 'fishing', 'shuttlecock kicking', 'chinese chess', 'swimming']",Badminton,0.497683495
Jo-sp-09,What sports are most associated with the upper class in China?,5,"['tennis', 'golf']",Golf and Tennis,0.555814028
Jo-sp-13,What is the most popular water sport in China?,5,"['scuba diving', 'jet ski', 'dragon boat racing', 'diving', 'swimming', 'parasailing']",Swimming,0.687409282
Jo-sp-14,What is the most popular mental sport in China?,5,"['dou dizhu', 'chinese chess', 'mahjong', 'go']",Go (Weiqi),0.497199804
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['116', '15', '115', '11', '10']",11,0.682156384
Jo-sp-19,What region in China has been traditionally associated with agriculture?,5,"['northeast', 'the middle-lower yangtze plain', 'henan', 'north china plain', 'guangdong', 'northeast plain']",North China Plain,0.799601257
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['12:30', '11:30', '13:00', '12:00']",12:00,0.78490752
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",3,"['17:15', '18:00', '21:00', '20:00', '22:00']",17:00,0.606740415
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,1,"['sit and reach', 'basketball', 'kick shuttlecock', 'jump rope', 'football', 'running', 'soccer', 'tug of war', 'standing long jump']",Table Tennis,0.428206503
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['6', '9', '8', '7', '10']",8,0.638644338
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['8', '3', '7']",8,0.638644278
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['6', '7']",6,0.625335276
Jo-sp-43,"How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['1', '2']",1,0.545344532
Jod-ch-01,What eating utensils do people commonly used in China?,5,['chopsticks'],Chopsticks,0.718217373
Jod-ch-04,What soft drink do people in China like to have?,5,"['milk tea', 'coke', 'bubble tea', 'green tea', 'tea', 'cola', 'oriental leaf']",Coca-Cola,0.667370141
Jod-ch-06,What is the most popular traditional alcohol in China?,4,"['moutai liquor', 'white liquor', 'moutai', 'chinese spirits', 'bai']",Baijiu,0.515983164
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",5,"['1', '1.5', '2']",1.5,0.734664917
Jod-ch-09,"What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['19:00', '18:00']",18:00,0.783519864
Jod-ch-12,What kind of soup do people from China like to have?,2,"['pork bone soup', 'fresh soup', 'stock', 'tomato potato soup', 'tomato egg soup']",Hot and sour soup,0.550782681
Jod-ch-13,What street food do people from China like to eat?,2,"['candied haw', 'gluten', 'tanghulu', 'stinky tofu', 'roasted sausage', 'barbecue skewers', 'sugar-coated haws', 'fried skewers']",Jianbing (Chinese crepes),0.317590117
Jod-ch-15,What kind of seafood do people from China like to eat?,5,"['crab', 'prawn', 'lobster', 'shrimp', 'salmon', 'perch', 'seabass', 'fish']","Shrimp, crab, and fish.",0.598318875
Jod-ch-16,What is the biggest festival in China?,5,"['chinese new year', 'spring festival', 'lunar new year', 'mid-autumn festival']",Chinese New Year,0.721024394
Jod-ch-28,What is the most commonly used public transport by people when travelling between cites in China?,5,"['airplane', 'high-speed train', 'high-speed rail', 'self-driving', 'railway']",High-speed train,0.70754981
Jod-ch-30,What are the specific decorations or symbols associated with the most biggest festival in China?,3,"['spring festival couplets', 'couplet', 'chinese couplets', 'chinese knot', 'new year scrolls', 'lantern', 'firecrackers']","Red lanterns, couplets, dragon and lion dances, and the character ""Fu"" which means fortune.",0.360420406
Jod-ch-37,What sports do women like to watch the most in China?,3,"['basketball', 'mahjong', 'table tennis', ""women's volleyball"", 'ping pong', 'diving', 'swimming']",Basketball and badminton,0.459231436
Jod-ch-38,What sports do men like to watch the most in China?,5,"['basketball', 'football', 'formula 1', 'soccer', 'diving', 'f1', 'formula one']",Soccer and Basketball,0.509697795
Jod-ch-41,What is the common leisure activity that females in their 20s in China engage in?,5,"['online game', 'travel', 'play mahjong', 'live action role playing', 'karaoke', 'friends gathering', 'murder mystery game', 'script murder', 'tourism', 'movie', 'larp', 'shopping']",Shopping and karaoke.,0.607897162
Jod-ch-42,What is the common leisure activity that males in their 20s in China engage in?,4,"['basketball', 'online game', 'running', 'hiking', 'play games', 'work out', 'mountaineering', 'escape room', 'sports']",Playing video games,0.61186713
Jod-ch-46,"How long (in hours) do people usually take a break after lunch on a weekday in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",3,"['1', '0.5']",1.5,0.399989814
Jod-ch-48,What do people eat for lunch during the working days in China?,4,"['takeaway', 'takeout fast food', 'takeout', 'canteen boxed meal', 'bring own meal', 'rice', 'canteen', 'noodles']",Rice or noodles with vegetables and meat.,0.521934569
Jod-ch-50,"What is the average commute time (in minutes) for people in China? (Provide Arabic numerals (e.g., 1) only.)",2,"['60', '90', '30']",52,0.292074919
Jod-ch-51,What is the most common transportation that people take to get to work in China?,5,"['car', 'private car', 'public transport', 'metro', 'shared bicycle', 'bus', 'subway']",Public bus or subway,0.594049454
Jod-ch-54,"How long (in days) is the marriage leave in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['3', '2']",3,0.64077878
Jod-ch-56,"What is the typical retirement age for women in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['60', '65', '55']",55,0.76669395
Jod-ch-57,"What is the typical retirement age for men in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['60', '65', '61']",60,0.729061007
Jod-ch-58,Which profession is the most respected in China?,2,"['police', 'ceo', 'company president', 'civil servant', 'chief executive officer', 'teacher', 'firefighter']",Doctor,0.335469186
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),5,"['9', '8']",8,0.638644218
Jod-ch-61,Which occupation is most preferred among females in China?,5,"['teacher', 'nurse', 'social media influencer', 'civil servant']",Teacher,0.67426616
Jod-ch-62,Which occupation is most preferred among males in China?,3,"['doctor', 'investment bank', 'doing business (being a boss)', 'white-collar (office worker)', 'civil servant', 'software engineer', 'programmer', 'be an official (civil servant)']",Engineer,0.536666214
Ki-pe-17,"On average, how far do students typically pursue their education in China? (e.g., elementary, high school)",4,"['diploma', 'junior college', 'undergraduate', 'bachelor', 'high school']",Most students pursue their education up to university level.,0.395626664
Ki-pe-24,What language is taught in schools in China besides English?,5,"['chinese language', 'chinese']",Chinese,0.578693986
Ki-pe-30,What days of the week are schools closed in China?,5,"['saturday', 'sunday']",Saturday and Sunday,0.691806912
Ki-pe-32,What food do the hosts usually prepare for the guests in China?,3,"['duck', 'chicken', 'rice', 'dim sum', 'cold dish', 'stir-fry', 'fish', 'dishes', 'dish with generous amounts of meat and fish', 'plenty of meat and fish']",Dumplings or Peking Duck,0.498002052
Ki-pe-34,What is the usual drink in the breakfast in China?,5,"['milk', 'soy milk']",Soy milk,0.784026265
Ki-pe-36,"Except the food original from China, which country's food is more popular in China?",3,"['japan', 'uk', 'thailand', 'united states', 'us', 'france', 'america', 'united kingdom']",Japanese food,0.50630188
Ki-pe-39,What food is usually prepared for a family picnic in China?,2,"['instant noodles', 'egg', 'fruit', 'cake', 'snacks', 'ready-to-cook meal', 'sandwich']",Rice balls and dumplings,0.346053749
Ki-pe-40,Which food from China is considered disgusting by the rest of the world?,5,"['dog meat', 'stinky tofu', 'preserved egg', 'century egg']",Century eggs,0.839282155
Ki-pe-43,What is the name of the popular bread in China?,1,"['master bao', 'european bread', 'zixi bread', 'dirty bun', 'european-style bread']",Mantou,0.366307378
Ki-pe-51,"What time of day are government offices closed in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['18:00', '17:00']",17:00,0.785224438
Ki-pe-53,"What is the normal start time of government offices in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",3,"['09:00', '08:00']",8:30,0.592149436
Kik-in-01,What national holiday has the longest duration in China?,5,"['1st of october', 'national day', 'lunar new year', 'chinese new year', 'october 1st', 'spring festival']",Chinese New Year,0.721024394
Kik-in-02,What are the common activities people from China do to celebrate Independence day?,1,"['military parade', 'travel', 'fireworks', 'watch the parade', 'tourism', 'stay at home']",China does not celebrate Independence Day.,0.275274992
Kik-in-04,What is installed in front of the house when a family member dies in China?,5,"['memorial hall', 'funeral couplet', 'white mourning banner', 'white lantern']",A white mourning banner,0.893759072
Kik-in-06,What event is usually held before a wedding in China?,2,"['engagement ceremony', 'banquet', 'buy dowry', 'pick up the bride', 'wedding photo shoot', 'sacrificial ceremony']",Tea Ceremony,0.472305089
Kik-in-07,What is usually shared to the children during (Lunar) New Year in China?,5,"['red packet', 'sweets', 'red envelope', 'red envelope with lucky money', 'candy', 'snacks', 'sweet']",Red envelopes with money,0.764209509
Kik-in-10,What is the most popular tourist attraction for foreign visitors in China?,5,"['mausoleum of the first qin emperor', 'great wall', 'terracotta warriors', 'the palace museum', 'forbidden city']",The Great Wall of China,0.673193216
Kik-in-11,"What is the most popular religious sites (temple, church, etc.) for tourism in China?",5,"['lingyin temple', 'yonghe temple', 'mount wutai', 'shaolin temple', 'putuo temple', 'blagoveshchensk', 'wudang mountains', 'temple of heaven']",Shaolin Temple,0.756559551
Kik-in-15,What clothes do women usually wear on graduation commencement ceremony in China?,5,"[""bachelor's gown"", 'academic dress', 'white clothes']",Academic gown and cap,0.669418335
Kik-in-16,What drink is commonly consumed in China when the weather is cold?,4,"['milk tea', 'corn juice', 'coffee', 'bubble tea', 'tea', 'white liquor', 'soup', 'chinese spirits', 'soy milk', 'bai']",Hot tea,0.626655102
Kik-in-17,What fruit is more commonly sold and found during Ramadan in China?,1,"['apple', 'melon', 'coconut']",Dates,0.290324867
Kik-in-24,What carbohydrate is usually served with chicken in a fast-food restaurant in China?,5,"['fries', 'rice', 'meal']",Rice,0.719280958
Kik-in-31,What is the most famous martial art sports in China?,5,"['five-step fist', 'chinese martial arts', 'kung fu', 'tai chi', 'chinese kung fu']",Kung Fu,0.697832465
Kik-in-34,What sports are often broadcasted on national television in China?,5,"['basketball', 'table tennis', 'football', 'soccer', 'badminton', 'diving', 'volleyball']","Football, basketball, and table tennis.",0.463014454
Kik-in-35,What sports were popular among people from China during the COVID-19 pandemic?,1,"['stay at home', 'aerobics', 'fitness ring']",Table tennis and badminton,0.284814745
Kik-in-36,Who is the most popular soccer coach in China?,1,"['fan zhiyi', 'bora milutinovic', 'li fenglou', 'li tie']",Marcello Lippi,0.304054022
Kik-in-37,What soccer teams in China are famous for their intense rivalry? (e.g. ___ vs ___),3,"['evergrande vs. luneng', 'shanghai sipg vs shanghai shenhua', 'shandong luneng vs shanghai shenhua', 'zhejiang team vs qingdao hainiu', 'shandong luneng vs guangdong evergrande']",Beijing Guoan vs Shanghai Shenhua,0.630494714
Kik-in-38,What are the names of soccer supporters in China who are famous for their intense rivalry? (e.g. ___ vs ___),3,['beijing guoan vs tianjin teda'],Beijing Guoan vs Shanghai Shenhua,0.593368709
Kik-in-40,Who is the most famous male badminton player in China?,5,['lin dan'],Lin Dan,0.782993317
Kik-in-41,Who is the most famous female badminton player in China?,2,"['chen yufei', 'xie xingfang']",Wang Yihan,0.355655134
Kik-in-44,What sport gets the most support from the government in China?,5,"['table tennis', 'football', 'soccer', 'ping pong', 'badminton', 'diving', 'skiing', 'gymnastics']",Table Tennis,0.6769045
Kik-in-45,What sports field facilities are usually available at schools in China?,4,"['athletics field', 'basketball court', 'soccer field', 'runway', 'sports field', 'soccer stadium', 'ping pong table', 'horizontal bar']",Basketball courts and table tennis tables,0.600992441
Na-ko-02,What cafe beverage do people from China most commonly enjoy?,2,"['latte', 'latte coffee', 'starbucks', 'milk coffee']",coffee,0.590174496
Na-ko-04,What is the preferred hangover cure food for people from China?,3,"['milk', 'tea', 'noodles', 'porridge', 'honey water', 'peanuts']",Congee with pickled vegetables,0.413827807
Na-ko-05,What is the typical delivery food in China?,2,"['rice bowl', 'barbecue', 'luosifen', 'shaxian delicacies', 'skewers', 'claypot rice', 'malatang', 'snail noodles', 'rice with toppings']",Dumplings,0.428535819
Na-ko-07,What type of meat is consumed most by people from China?,5,"['pork', 'beef', 'chicken']",Pork,0.753324926
Na-ko-08,What fruit do people from China often eat in the autumn season?,5,"['apple', 'pear', 'grape', 'pomelo']",Pears and apples,0.694545805
Na-ko-09,What side dish is the most commonly served on a dining table in China?,2,"['stir-fried green vegetables', 'green vegetables', 'chili pepper', 'pickled mustard tuber', 'chinese cabbage', 'stir-fried meat']",Rice,0.396257788
Na-ko-11,What do people from China eat while watching a soccer game?,2,"['mineral water', 'potato chips', 'chips', 'fried chicken', 'food to accompany alcohol']",Sunflower seeds or popcorn,0.333604664
Na-ko-15,What is the representative nourishing food in China?,2,"['ginseng', 'red dates', 'goji berries', 'swallow nests', ""edible bird's nests"", 'dates']",Chicken soup with ginseng,0.601619244
Na-ko-16,Who is the most famous soccer player in China?,5,"['zhiyi fan', 'fan zhiyi', 'lei wu', 'shihao wei', 'wei shihao', 'wu lei']",Wu Lei,0.769427776
Na-ko-17,What sports do male students enjoy during lunch time at school in China?,4,"['reach jump', 'basketball', 'vertical jump', 'play basketball']",Basketball and table tennis,0.517368138
Na-ko-18,What is the most common sport girls participate in during physical education classes in China?,5,"['basketball', 'jump rope', 'running', 'shuttlecock kicking', 'badminton', 'volleyball']",Badminton,0.68503201
Na-ko-19,Who is the most popular volleyball player in China?,2,"['lang ping', 'wei qiuyue']",Zhu Ting,0.30114463
Na-ko-20,What sports event do people from China passionately support the most in international competitions?,3,"['basketball', 'table tennis', 'football', 'soccer', 'ping pong', 'volleyball']",Table Tennis and Badminton,0.585938096
