id,en_question,score,true_answer,pred_answer,reason
Al-en-32,What is the main dish for Thanksgiving in China?,2,"['roast chicken', 'fish']","The main dish for Thanksgiving in China is not a traditional part of the holiday, as Thanksgiving is an American celebration. However, Chinese people may have their own meals or dishes during the holiday, which can vary greatly depending on regional cuisines and personal preferences. There is no specific, universally agreed-upon main dish for Thanksgiving in China.","The predicted answer correctly identifies that Thanksgiving is not a traditional Chinese holiday and that there is no specific main dish for it in China. However, it does not mention 'roast chicken' or 'fish', which are given as true answers. The answer is weakly related as it addresses the context of Thanksgiving in China but does not provide the specific dishes mentioned."
Al-en-33,What do people do to celebrate Halloween in China?,3,"['gathering', 'dress up', 'party']","People in China do not have a widespread tradition of celebrating Halloween like it is in Western countries. However, with the increasing influence of globalization, some urban areas, particularly among expats and young Chinese, might organize Halloween-themed events or parties for fun and cultural exchange. These activities are not an integral part of Chinese culture but rather a imported celebration.","The predicted answer mentions Halloween-themed events or parties, which is somewhat related to the true answers of 'gathering', 'dress up', and 'party'. However, it emphasizes the lack of widespread celebration and the influence of globalization, which is not directly addressed in the true answers."
Al-en-34,What do people do to celebrate New Year's Day in China?,4,"['dumplings', 'spring outing', 'watch the spring festival gala', ""pay a new year's visit"", 'pasting spring couplets', 'pasting chinese couplets', 'set off firecrackers', 'visit relatives', 'have the reunion dinner', 'pasting new year scrolls']","People in China celebrate New Year's Day (Spring Festival) with various customs, including family reunions, eating团圆饭 (a big feast), setting off fireworks, giving red envelopes (hongbao) filled with money, watching dragon and lion dances, and decorating with couplets and lanterns.","The predicted answer includes several activities that are very similar to the true answers, such as family reunions (reunion dinner), setting off fireworks (firecrackers), and decorating with couplets (pasting spring couplets). However, it does not mention some specific activities like watching the spring festival gala or visiting relatives, which prevents a perfect score."
Al-en-35,What do people do to celebrate Christmas in China?,3,"['gathering', 'have a big meal', 'send apples', 'shopping', 'party']","People in China celebrate Christmas in various ways, although it is not an officially recognized holiday like in many Western countries. Some Christians observe religious traditions, while others participate in festive activities for cultural exchange or simply as a global celebration. These may include decorating Christmas trees, exchanging gifts, having holiday-themed events, enjoying Western-style cuisine, or watching movies and concerts.","The predicted answer mentions activities like exchanging gifts, having holiday-themed events, and enjoying Western-style cuisine, which are somewhat related to the true answers like gathering, having a big meal, and party. However, it does not directly match any of the true answers."
Al-en-36,What food is associated with Halloween in China?,1,['pumpkin'],Mooncakes.,"The predicted answer 'mooncakes' is unrelated to the true answer 'pumpkin'. Mooncakes are associated with the Mid-Autumn Festival, not Halloween in China."
Al-en-37,What food is associated with Christmas in China?,1,"['apple', 'fried chicken', 'steak', 'roast chicken', 'pizza', 'mulled wine', 'turkey']","Rice cake (also known as ""nian gao"" in Chinese) is a traditional food associated with Christmas in China, although it is more commonly consumed during the Chinese New Year. It symbolizes progress and prosperity for the coming year.","The predicted answer 'rice cake' (nian gao) is unrelated to any of the true answers, which include 'apple', 'fried chicken', 'steak', 'roast chicken', 'pizza', 'mulled wine', and 'turkey'. There is no semantic or categorical similarity between the predicted answer and the true answers."
Al-en-38,What food is associated with Valentine's day in China?,1,['chocolate'],Red date (also known as Chinese Valentine's Day cake or Nián Gāo) is traditionally associated with Valentine's Day in China.,The predicted answer 'Red date (also known as Chinese Valentine's Day cake or Nián Gāo)' is unrelated to the true answer 'chocolate'. There is no semantic or cultural connection between the two in the context of Valentine's Day in China.
Al-en-39,What do people eat on their birthday in China?,5,"['birthday cake', 'home-style cooking', 'cake', 'noodles', 'longevity noodles']",People eat noodles on their birthday in China.,The predicted answer 'noodles' matches one of the true answers 'noodles' exactly.
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,5,"['park', ""children's park"", 'outdoor playground', 'amusement park']","One popular outdoor place for families to have fun with little kids in China is the amusement park, specifically Disneyland or other themed parks like Happy Valley.","The predicted answer 'amusement park' matches one of the true answers exactly, and the mention of specific examples like Disneyland or Happy Valley aligns with the category of 'amusement park'."
Al-en-43,What is a popular indoor activity for families in China?,5,"['watch tv', 'play mahjong', 'dou dizhu', 'mahjong']",Mahjong,The predicted answer 'Mahjong' matches one of the true answers 'mahjong' under case-insensitive comparison.
An-ar-02,Where do university students have lunch in China?,5,"['university cafeteria', 'canteen']",University students in China typically have lunch in their university canteens (食堂) or dining halls.,The predicted answer 'university canteens or dining halls' is essentially the same as the true answers 'university cafeteria' and 'canteen' after normalization and lemmatization.
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),1,"['1', '6', '7']",12,"The predicted answer '12' does not match any of the true answers '1', '6', or '7'. There is no semantic similarity or normalization that aligns the predicted answer with the true answers."
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",4,"['8', '15', '9', '11', '10']","The answer is not provided in the given information. However, on average, Chinese high school students typically spend around 7-9 hours per day attending classes, excluding breaks and extracurricular activities.","The predicted answer provides a range (7-9 hours) that overlaps with the true answers (8, 9). It is very similar but not identical to any single true answer."
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)",2,"['3', '2']","The number of languages that students study at high school in China is not a fixed value, as it can vary depending on the curriculum and local education policies. Generally, Chinese students learn Mandarin as their primary language and may study English or other foreign languages like English, French, Spanish, or German. However, without specific data, I cannot provide an exact number. It is common for them to study at least two foreign languages, but the number could be more or less in different regions.","The predicted answer does not provide a specific number of languages, which is required by the question. It mentions that students generally study at least two foreign languages, which is weakly related to the true answers '3' and '2'."
An-ar-34,What is the most popular sport played in a team at school in China?,5,"['volleyball', 'soccer', 'basketball', 'football']",The most popular sport played in a team at school in China is basketball.,The predicted answer 'basketball' matches one of the true answers exactly.
An-ar-35,Who is the most popular sport commentator in China?,1,['huang jianxiang'],"The most popular sport commentator in China can vary depending on personal preferences and current popularity, but one well-known and highly respected figure is Sun Zhihan, who is known for his commentary on basketball matches, particularly on the Chinese Basketball Association (CBA) and the national team.","The predicted answer mentions Sun Zhihan, who is not the same as the true answer, Huang Jianxiang. There is no semantic similarity or overlap between the two names, making the predicted answer unrelated to the true answer."
An-ar-36,What is the most popular sport team in China?,3,"['guangzhou evergrande', 'table tennis team', 'national diving team', 'manchester united', 'real madrid', 'shandong luneng', 'ping pong team']","The most popular sport team in China is typically the Chinese national soccer (football) team, particularly the men's team, although individual clubs like Guangzhou Evergrande Taobao in football and Beijing Ducks in basketball also have significant fan followings.","The predicted answer mentions 'Guangzhou Evergrande Taobao', which is related to 'Guangzhou Evergrande' from the true answers. However, it also includes other teams not mentioned in the true answers, and does not mention some of the other popular teams like 'table tennis team' or 'national diving team'. Therefore, the answer is somewhat related but not fully aligned with the true answers."
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,4,"['home', 'bar', 'family', 'barbecue restaurant', 'pub']","Television homes, public sports bars, and internet platforms (such as online streaming services) are common places where individuals in China gather to watch sports broadcasts.","The predicted answer includes 'sports bars' and 'homes', which are very similar to 'bar' and 'home' in the true answers. 'Internet platforms' is not mentioned in the true answers, but the overall semantic similarity is high."
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)",5,['3'],Three,The predicted answer 'Three' matches the true answer '3' after converting the word to its numerical form.
Ca-sp-06,Which is the most important meal of the day to people from China?,5,"['breakfast', 'dinner', 'lunch']",Breakfast,The predicted answer 'Breakfast' matches one of the true answers 'breakfast' under case-insensitive comparison.
Ca-sp-08,What is the most common ingredient used in China's diet?,5,"['scallions', 'ginger', 'garlic', 'noodles', 'rice', 'white flour', 'spring onion']",Rice,The predicted answer 'Rice' matches one of the true answers 'rice' under case-insensitive comparison.
Ca-sp-09,What do people from China usually eat for dessert?,2,"['mooncake', 'cake', 'osmanthus cake', 'cakes and pastries', 'pastry']",Tangyuan (汤圆),"The predicted answer 'Tangyuan' is weakly related to the true answers as it is a type of dessert in China, but it does not match any of the specific desserts listed in the true answers."
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,1,"['whenever it happens, it happens', 'friday', 'saturday']","In China, people usually organize a family meal on Sundays.","The predicted answer 'Sundays' does not match any of the true answers 'whenever it happens, it happens', 'friday', or 'saturday'. There is no semantic similarity between 'Sundays' and the true answers, as they refer to different days or concepts."
Ca-sp-14,Which is the most popular hot drink in China?,5,"['tea', 'milk tea']","The most popular hot drink in China is tea, specifically green tea and jasmine tea.","The predicted answer includes 'tea', which matches one of the true answers after case-insensitive comparison. Additionally, 'green tea' and 'jasmine tea' are specific types of 'tea', which further supports a high score."
Ca-sp-19,What do young people from China usually drink at the night club?,5,"['beer', 'alcohol', 'cocktail', 'foreign liquor']","It is difficult to provide a single answer as young people from China, like those in any other country, have diverse drinking preferences. However, some popular beverages among them at nightclubs might include alcohol such as beer (Chinese brands like Harbin Beer or Tsingtao), cocktails, and soft drinks for those who don't drink alcohol.","The predicted answer includes 'beer', 'alcohol', and 'cocktails', which match the true answers after normalization and lemmatization."
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),1,"['1', '2']",7 (July) and 8 (August) are commonly considered peak holiday months in China due to the summer vacation for students and the National Day holiday in October.,"The predicted answer mentions months 7 (July), 8 (August), and October, which do not match the true answers 1 (January) and 2 (February). There is no semantic similarity between the predicted and true answers."
Ca-sp-29,What tradition is there in China for New Year's Eve?,5,"[""staying up late on new year's eve"", 'making dumplings', 'set off fireworks', 'watch the spring festival gala', 'set off firecrackers', 'send red envelope', 'lucky money', 'eat dumplings', 'have the reunion dinner', 'family reunion']",Family reunion dinner.,The predicted answer 'Family reunion dinner' matches the true answer 'have the reunion dinner' after normalization and lemmatization.
Ca-sp-38,Which is the typical type of house for a family in China?,4,"['self-built house', 'house', 'villa', 'apartment building', 'apartment']","The typical type of house for a family in China varies depending on factors such as location, urban vs. rural, and income level. In urban areas, especially in larger cities, apartment buildings (单元楼 yuán wù lóu) are common. For families in smaller towns or rural areas, traditional courtyard houses (四合院 sì hé yuàn) or newer suburban villa-style homes (联排别墅 lián pái bié shù) are more prevalent. However, a single answer that could represent many families would be a ""multi-story dwelling with apartments,"" as it encompasses both urban and suburban housing options.","The predicted answer mentions 'apartment buildings' which matches 'apartment building' in the true answers. It also provides additional context about housing types in China, which aligns with the true answers. However, it does not directly match all true answers, hence a score of 4 for very similar."
Ca-sp-41,Where do the dependent elderly usually live in China?,3,"['home', ""children's home"", 'rural hometown', 'countryside', 'hiring nursing staff to take care', 'rural area', 'nursing home']","In China, the dependent elderly usually live with their families, particularly their adult children, in nuclear families or extended family households. This is due to the traditional Chinese culture of filial piety and the support system provided by the family. Some also reside in senior care facilities or communities, especially in urban areas.","The predicted answer mentions living with families, which aligns with 'home' and 'children's home' from the true answers. It also mentions senior care facilities, which is related to 'nursing home'. However, it does not directly address 'rural hometown', 'countryside', or 'rural area', and the mention of urban areas contrasts with the rural focus of some true answers."
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",5,"['14', '24', '2']",24,The predicted answer '24' matches one of the true answers exactly.
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",1,"['0', '1', '3 days']",20,"The predicted answer '20' is unrelated to the true answers '0', '1', '3 days'. There is no semantic or numerical similarity between the predicted and true answers."
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,3,"['beach', 'popular city attractions', 'seaside', 'ancient town', 'countryside views', 'garden', 'rural beauty', 'mountain']",Beijing and Shanghai,"The predicted answer 'Beijing and Shanghai' are popular city attractions, which is somewhat related to the true answer 'popular city attractions'. However, it does not cover the broader range of destinations like 'beach', 'seaside', 'ancient town', etc."
Gu-ch-05,What sports do seniors like the most in China?,3,"['practice tai chi', 'playing tai chi', 'walk', 'square dancing', 'square dance', 'tai chi']","Tai Chi, Badminton, Table Tennis, and Squash are popular sports among seniors in China.","The predicted answer includes 'Tai Chi', which matches the true answers. However, the other sports mentioned (Badminton, Table Tennis, and Squash) are not present in the true answers. The true answers also include activities like 'walk' and 'square dancing', which are not mentioned in the prediction. Therefore, the predicted answer is somewhat related but not fully aligned with the true answers."
Gu-ch-06,What sports do men like to play the most in China?,5,"['basketball', 'ping pong', 'soccer', 'football', 'table tennis']",Table tennis.,The predicted answer 'Table tennis' matches the true answer 'table tennis' under case-insensitive comparison.
Gu-ch-07,Who is the most famous basketball player in China?,5,"['zheng haixia', 'wang zhizhi', 'haixia zheng', 'jianlian yi', 'yao ming', 'mu tiezhu', 'ming yao', 'zhizhi wang', 'yi jianlian', 'tiezhu mu']",Yao Ming,The predicted answer 'Yao Ming' matches one of the true answers 'yao ming' under case-insensitive comparison.
Gu-ch-08,What is the most popular sports among children in China?,5,"['basketball', 'soccer', 'football', 'table tennis', 'running']",The most popular sports among children in China is table tennis.,The predicted answer 'table tennis' matches one of the true answers exactly.
Gu-ch-09,What sports do women like to play the most in China?,5,"['yoga', 'square dance', 'ping pong', 'running', 'table tennis', 'badminton']",Table tennis.,The predicted answer 'Table tennis' matches the true answer 'table tennis' under case-insensitive comparison.
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,5,"['ping pong', 'diving', 'table tennis', 'weightlifting']",China has won the most gold medals in table tennis at the Olympics.,The predicted answer 'table tennis' matches one of the true answers 'table tennis' exactly after case-insensitive comparison.
Gu-ch-15,What sports do male students in university like to play the most in China?,2,"['basketball', 'soccer', 'football', 'swimming', 'badminton', 'video game']",Table Tennis,"The predicted answer 'Table Tennis' is weakly related to the true answers as it is a sport, but it is not listed among the most liked sports by male university students in China according to the true answers."
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)",5,['3'],The average number of people in a family in China is approximately 3.,The predicted answer '3' matches the true answer '3' under case-insensitive comparison and numerical format.
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)",3,"['1', '2']","The one-child policy in China was implemented from 1979 to 2016, allowing couples to have only one child. However, after the policy was relaxed in 2016, families were allowed to have two children. The exact average number of children per couple can vary, but it is not a fixed number. In general, under the two-child policy, families might have an average of around 1.5 to 2 children. Given this information, a single answer cannot be provided in Arabic numerals without more recent data. If you need the most up-to-date statistics, please consult recent demographic reports.","The predicted answer provides context about the one-child and two-child policies in China, mentioning an average of around 1.5 to 2 children, which is somewhat related to the true answers '1' and '2'. However, it does not provide a specific number in Arabic numerals as requested."
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)",5,['6'],6,The predicted answer '6' matches the true answer '6' under case-insensitive comparison.
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)",5,['9'],9,The predicted answer '9' matches the true answer '9' under case-insensitive comparison.
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['10', '6', '3', '11', '5']",6,The predicted answer '6' matches one of the true answers exactly.
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)",5,['4'],4,The predicted answer '4' matches the true answer '4' under case-insensitive comparison.
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",2,"['17:00', '16:00', '16:30']","The specific time for younger elementary school students to finish school in China varies across provinces and cities, as school schedules can differ. However, a common release time is around 14:30 or 15:00 (02:30 or 03:00 PM) in many urban areas. Please note that this might not be universal, and some schools may have earlier or later dismissal times.","The predicted answer provides a range of times (14:30 or 15:00) that are earlier than the true answers (16:00, 16:30, 17:00). While it acknowledges variability, the specific times mentioned do not match or closely align with the true answers."
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)",1,"['0', '1', '2']","As an AI, I don't have access to current statistics or specific data on the exact number of musical instruments that elementary school students in China typically play. However, it's important to note that music education in China varies across regions and schools, with some emphasizing traditional Chinese instruments while others focus on a broader range of instruments. A general answer cannot be provided with certainty in阿拉伯数字 (Arabic numerals).",The predicted answer does not provide a numerical value in Arabic numerals as required by the question. It instead gives a general explanation without addressing the specific query.
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,4,"['friday', 'saturday']","People in China prefer to have company dinners on weekends, typically Saturdays or Sundays.","The predicted answer includes 'Saturdays', which matches one of the true answers. However, it also includes 'Sundays', which is not mentioned in the true answers. The inclusion of 'weekends' is somewhat related but not specific enough to match the true answers exactly."
Ji-ko-03,Which region/city has the highest number of financial companies in China?,5,"['hong kong', 'beijing', 'shanghai']",Shanghai,The predicted answer 'Shanghai' matches one of the true answers exactly.
Ji-ko-07,What is the most famous private company in China?,5,"['jd.com, inc.', 'alibaba', 'tencent', 'huawei', 'jd.com']",The most famous private company in China is Alibaba Group.,The predicted answer 'Alibaba Group' matches 'alibaba' from the true answers after case-insensitive comparison.
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)",1,"['50', '72', '60', '76', '45', '40']",44,"The predicted answer '44' does not match any of the true answers, and it is not semantically similar to the range of true answers provided."
Ji-ko-09,What do people typically eat during company get-together in China?,4,"['dim sum', 'dumplings', 'cake', 'cold dish', 'hot pot', 'barbecue', 'hot dishes', 'fruit']","People typically eat various dishes, including traditional Chinese cuisine, during company get-togethers in China. This may include dim sum, hot pot, roast duck, dumplings, and a variety of seafood and vegetable options.","The predicted answer includes several items that match the true answers, such as 'dim sum', 'dumplings', and 'hot pot'. It also mentions 'roast duck' and 'seafood', which are related to 'hot dishes'. However, it does not mention 'cake', 'cold dish', 'barbecue', or 'fruit', so it is not a complete match."
Ji-ko-14,What is the representative export item of China?,4,"['shoes', 'rice', 'mobile phone', 'textile', 'clothes', 'yiwu small commodities']","China's representative export items include electronics, machinery, clothing, textiles, furniture, and consumer goods such as electronics (e.g., smartphones, computers), appliances, toys, and electronics components.","The predicted answer includes 'textiles' and 'clothing', which match 'textile' and 'clothes' from the true answers after normalization. Additionally, 'electronics' and 'mobile phone' are related, but not a direct match. Overall, the predicted answer is very similar to the true answers."
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",5,"['1.5', '1', '0.5']",1.5,The predicted answer '1.5' matches one of the true answers exactly.
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,5,"['home', 'postpartum care center', 'hospital', 'family', 'maternal home']","In China, mothers typically stay in a postpartum care facility or their own home (depending on the family's preference and resources) for a period of 42 days, also known as ""坐月子"" (sitting the month), for recovery after childbirth.","The predicted answer includes 'postpartum care facility' and 'home', which match the true answers 'postpartum care center' and 'home' after normalization. The explanation also aligns with the cultural practice of '坐月子'."
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,1,['carnation'],China's most commonly given flower on Parents' Day is the peony (牡丹).,The predicted answer 'peony' is unrelated to the true answer 'carnation'. There is no semantic similarity or sub-category relationship between the two flowers in the context of the question.
Ji-ko-22,What do people especially spend their first salary on in China's society?,3,"['treat friends/family to a meal', 'presents', 'shopping', 'gift', 'clothes']","In China's society, people often spend their first salary on necessities, such as accommodation, food, and personal items. This may also include experiences like treating themselves or their family to a special meal or celebration.","The predicted answer mentions spending on necessities and experiences like treating family to a meal, which is somewhat related to the true answers that include treating friends/family to a meal and shopping. However, it does not directly mention presents, gifts, or clothes, which are part of the true answers."
Ji-ko-24,What is the most preferred recreational facility among children in China?,4,"['slide', 'swing', 'little train', 'amusement park', 'disney']","Based on the information available, the most preferred recreational facility among children in China is typically parks, specifically the nature-themed or amusement parks like Happy Valley, Disney Land/Disneyland, and other local theme parks. These places offer a wide range of rides, games, and activities that are popular among children. However, it's important to note that preferences may vary depending on the region and individual child interests.","The predicted answer mentions 'amusement parks' and 'Disneyland', which are directly listed in the true answers. However, it also includes additional details and examples that are not in the true answers, such as 'Happy Valley' and 'nature-themed parks'. The core concept of amusement parks is captured, but the predicted answer is broader, hence a score of 4."
Ji-ko-25,What are the family-related holidays in China?,5,"[""father's day"", 'mid-autumn festival', 'double ninth festival', 'lunar new year', 'chinese new year', 'qingming festival', 'spring festival', ""mother's day"", 'dragon boat festival']","In China, the main family-related holidays include:

1. Chinese New Year (Spring Festival) - usually in late January or early February, celebrating the lunar new year and family reunions.
2. Mid-Autumn Festival - held in September or October, a time for moon worship and family gatherings around a feast.
3. Dragon Boat Festival - in June, honoring the poet Qu Yuan with dragon boat races and zongzi (glutinous rice dumplings).
4. Tomb-Sweeping Day (Qingming Festival) - in early April, a day to pay respects to ancestors and扫墓 (sweep tombs).
5. Double Ninth Festival (Chongyang Festival) - in late September or early October, a celebration of longevity and often involves climbing mountains with family.

These are some of the most significant holidays that emphasize family gatherings and traditions in China.","The predicted answer includes 'Chinese New Year', 'Mid-Autumn Festival', 'Dragon Boat Festival', 'Tomb-Sweeping Day (Qingming Festival)', and 'Double Ninth Festival', all of which match the true answers after normalization and lemmatization."
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,3,"['work', 'college graduate', 'buy a house', 'get married']","In China's society, key milestones associated with children's independence from their parents include:

1. Starting school (usually around 6 years old)
2. Graduating from high school (approximately 18 years old)
3. Completing college or university (typically 22-24 years old)
4. Getting a job and starting to support themselves financially
5. Marriage and forming their own household
6. Having children and becoming a parent themselves, passing on the responsibility to the next generation.","The predicted answer includes some milestones that are related to the true answers, such as 'college graduate' and 'get married'. However, it also includes additional milestones not mentioned in the true answers, such as 'starting school' and 'having children'. The predicted answer is somewhat related but not identical or very similar to the true answers."
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,3,"['health care products', 'money', 'food', 'milk', 'fruit basket', 'alcohol']",Red envelopes (hongbao),"The predicted answer 'Red envelopes (hongbao)' is somewhat related to the true answer 'money', as red envelopes typically contain money. However, it is not a direct match or a sub-category of the other true answers."
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,1,"['birth feast', 'first month', 'one month old', 'hundred days']","The first day that people celebrate after a child is born in China is the third day (also known as the ""Sanming Ji,"" or Three Days Festival). This is when the baby's grandparents, relatives, and friends visit the family to bring gifts and blessings for the new arrival.","The predicted answer 'third day' or 'Three Days Festival' does not match any of the true answers such as 'birth feast', 'first month', 'one month old', or 'hundred days'. There is no semantic similarity or sub-category relationship between the predicted answer and the true answers."
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,2,"['90', '60', '20', '80', '18']","The oldest age, i.e., 100 years old, is celebrated the most grandly in Chinese society. It is considered a significant milestone and is often celebrated with great fanfare as it symbolizes longevity and a full life.","The predicted answer mentions 100 years old as the most grandly celebrated age, which is not listed among the true answers. However, it is somewhat related as it discusses a significant milestone age in Chinese society, similar to the ages mentioned in the true answers."
Ji-ko-31,Where do middle and high school students in China usually study for exams?,5,"['classroom', 'school', 'can study anywhere', 'extracurricular tutoring class']",Middle and high school students in China usually study for exams at their respective schools.,The predicted answer 'at their respective schools' matches the true answer 'school' after case-insensitive comparison.
Ji-ko-33,Where do high school students in China usually go after dinner?,3,"['playground', 'go home', 'school classroom', 'home', 'student accommodation', 'dormitory', 'extracurricular tutoring class']",High school students in China usually go to classes after dinner.,"The predicted answer 'classes' is somewhat related to 'school classroom' and 'extracurricular tutoring class' from the true answers, but it does not match exactly. The predicted answer suggests a continuation of academic activities, which aligns with some of the true answers, but it does not cover the full range of activities mentioned."
Ji-ko-34,How do elementary school students in China go to school?,5,"['take the bus', 'walk', 'parent pick-up and drop-off']","Elementary school students in China usually go to school by walking, biking, taking a bus, or being dropped off by their parents or guardians, depending on their proximity to the school and local transportation options.","The predicted answer includes all the modes of transportation mentioned in the true answers: walking, taking a bus, and being dropped off by parents. It also provides additional options like biking, which does not contradict the true answers."
Ji-ko-35,What is the most common form of private education in China?,4,"['international exchange', 'private school', 'kindergarten', 'foreign language school', 'internation school']","The most common form of private education in China is independent schools (or private schools) known as ""贵族学校"" (guìzú xuéxiào), which often cater to wealthier families and offer a more elite education.","The predicted answer 'private schools' matches the true answer 'private school' after singular/plural normalization. Additionally, the explanation about 'independent schools' aligns with the concept of private schools, which is a common form of private education in China."
