ID,Translation,prompt,response,prompt_no
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",14,pers-3
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",2,pers-3
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What type of destination is commonly chosen for a family vacation in China?",A popular destination for a family vacation in China is Hainan Island.,pers-3
Gu-ch-05,What sports do seniors like the most in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports do seniors like the most in China?",Tai Chi,pers-3
Gu-ch-06,What sports do men like to play the most in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports do men like to play the most in China?",Table tennis (ping pong) and basketball.,pers-3
Gu-ch-07,Who is the most famous basketball player in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Who is the most famous basketball player in China?",Yao Ming,pers-3
Gu-ch-08,What is the most popular sports among children in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular sports among children in China?",Table Tennis (Ping Pong),pers-3
Gu-ch-09,What sports do women like to play the most in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports do women like to play the most in China?",Badminton and table tennis.,pers-3
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports event has China won the most gold medals at the Olympics?",Table Tennis,pers-3
Gu-ch-15,What sports do male students in university like to play the most in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports do male students in university like to play the most in China?",Basketball.,pers-3
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)",3,pers-3
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)",1 or 2,pers-3
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)",6,pers-3
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)",9,pers-3
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)",6,pers-3
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)",4,pers-3
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",15:30,pers-3
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)",1,pers-3
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What day of the week do people in China prefer to have company dinners?",Friday.,pers-3
Ji-ko-03,Which region/city has the highest number of financial companies in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which region/city has the highest number of financial companies in China?",Shanghai,pers-3
Ji-ko-07,What is the most famous private company in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most famous private company in China?",Alibaba Group.,pers-3
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)",44,pers-3
Ji-ko-09,What do people typically eat during company get-together in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people typically eat during company get-together in China?","Dumplings (饺子), Peking duck (北京烤鸭), various stir-fried dishes, and hot pot (火锅).",pers-3
Ji-ko-14,What is the representative export item of China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the representative export item of China?",Electronics and machinery.,pers-3
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",1.5,pers-3
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do mothers stay for a certain period after childbirth for recovery in China?",Zuoyuezi (坐月子) centers or at home.,pers-3
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is China's most commonly given flower on Parents' Day?",Carnation,pers-3
Ji-ko-22,What do people especially spend their first salary on in China's society?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people especially spend their first salary on in China's society?",Many people in China spend their first salary on gifts for their parents as a gesture of gratitude.,pers-3
Ji-ko-24,What is the most preferred recreational facility among children in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most preferred recreational facility among children in China?",Public parks with playgrounds.,pers-3
Ji-ko-25,What are the family-related holidays in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the family-related holidays in China?","The family-related holidays in China include:

- Chinese New Year (Spring Festival)
- Qingming Festival (Tomb-Sweeping Day)
- Dragon Boat Festival
- Mid-Autumn Festival
- Double Ninth Festival (Chongyang Festival)
- Winter Solstice Festival
- Chinese National Day (family gatherings are common during the Golden Week holiday)",pers-3
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the key milestones associated with children's independence from their parents in China's society?","The key milestones associated with children's independence from their parents in Chinese society typically include:

1. Starting school at age 6 or 7.
2. The Gaokao examination at age 18, which is a crucial determinant for university admission.
3. Graduating from university and starting a career, usually around age 22 or 23.
4. Marriage, which traditionally signifies the establishment of a new, independent family unit.
5. Purchasing a home, which is often seen as a critical step towards full adulthood and independence, though this can vary greatly depending on individual circumstances and economic factors.",pers-3
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the common gift you give when visiting elderly parents in China?",Fruit or health supplements.,pers-3
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

When is the first day that people celebrate after a child is born in China?","The first day people celebrate after a child is born in China is the baby's one-month birthday, known as the ""Full Moon Celebration"" or ""Man Yue"" in Chinese.",pers-3
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which age's birthday is celebrated the most grandly in China's society?",The 60th birthday.,pers-3
Ji-ko-31,Where do middle and high school students in China usually study for exams?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do middle and high school students in China usually study for exams?",At home or in school.,pers-3
Ji-ko-33,Where do high school students in China usually go after dinner?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do high school students in China usually go after dinner?",High school students in China typically go home to study or attend evening self-study sessions at school after dinner.,pers-3
Ji-ko-34,How do elementary school students in China go to school?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How do elementary school students in China go to school?","Elementary school students in China typically go to school by walking, being dropped off by their parents, taking a school bus, or using public transportation.",pers-3
Ji-ko-35,What is the most common form of private education in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most common form of private education in China?","The most common form of private education in China is after-school tutoring or cram schools, known as ""buxiban"" in Mandarin.",pers-3
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which subject’s academy/private educational institute do middle or high students most frequently attend in China?",Mathematics academy/private educational institute.,pers-3
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What type of clothing do middle and high school students wear to school in China?",Middle and high school students in China typically wear school uniforms.,pers-3
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which major is considered the most difficult to gain admission to in China?","The major considered most difficult to gain admission to in China is typically Tsinghua University's engineering program, especially in fields like computer science and electrical engineering.",pers-3
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most commonly learned musical instrument by elementary school students in China?",The most commonly learned musical instrument by elementary school students in China is the piano.,pers-3
Ji-ko-40,What do high school students typically do during break time in schools in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do high school students typically do during break time in schools in China?","High school students in China typically socialize with classmates, play sports or games, and sometimes study or do homework during break time.",pers-3
Ji-ko-41,What kind of shoes do students wear in schools in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What kind of shoes do students wear in schools in China?",Students in China typically wear sports shoes or sneakers to school.,pers-3
Ji-ko-42,What are the required subjects in China's university entrance exam?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the required subjects in China's university entrance exam?","The required subjects in China's university entrance exam, known as the Gaokao, typically include Chinese, Mathematics, and a foreign language (usually English). Students then choose between the Science track (including Physics, Chemistry, Biology) or the Humanities track (including History, Geography, Political Education).",pers-3
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which region (within a city) in China has the highest academic fervor?",Haidian District in Beijing.,pers-3
Ji-ko-45,What do people look forward to the most at university festivals in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people look forward to the most at university festivals in China?",Performances and activities showcasing cultural traditions and talents.,pers-3
Jo-sp-01,What is the second most popular sport in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the second most popular sport in China?",Table Tennis,pers-3
Jo-sp-02,What is the most popular sport played without a ball in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular sport played without a ball in China?","Table tennis (ping pong) is the most popular sport played with a small ball in China. However, if you are asking for a sport played without any ball, then badminton would be one of the most popular.",pers-3
Jo-sp-09,What sports are most associated with the upper class in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports are most associated with the upper class in China?",Golf and equestrian sports.,pers-3
Jo-sp-13,What is the most popular water sport in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular water sport in China?",Dragon boat racing.,pers-3
Jo-sp-14,What is the most popular mental sport in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular mental sport in China?","The most popular mental sport in China is Xiangqi, also known as Chinese chess.",pers-3
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)",11,pers-3
Jo-sp-19,What region in China has been traditionally associated with agriculture?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What region in China has been traditionally associated with agriculture?",The North China Plain.,pers-3
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",12:00,pers-3
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",22:00,pers-3
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sport do elementary school students tend to practice at school in China?",Table Tennis,pers-3
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",8,pers-3
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",6-8,pers-3
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",6,pers-3
Jo-sp-43,"How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)",1,pers-3
Jod-ch-01,What eating utensils do people commonly used in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What eating utensils do people commonly used in China?",Chopsticks.,pers-3
Jod-ch-04,What soft drink do people in China like to have?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What soft drink do people in China like to have?",Wahaha (娃哈哈),pers-3
Jod-ch-06,What is the most popular traditional alcohol in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular traditional alcohol in China?",Baijiu,pers-3
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",1.5,pers-3
Jod-ch-09,"What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",18:00,pers-3
Jod-ch-12,What kind of soup do people from China like to have?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What kind of soup do people from China like to have?",Hot and sour soup.,pers-3
Jod-ch-13,What street food do people from China like to eat?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What street food do people from China like to eat?",Baozi (steamed buns).,pers-3
Jod-ch-15,What kind of seafood do people from China like to eat?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What kind of seafood do people from China like to eat?","People from China like to eat a variety of seafood, including fish, shrimp, crab, squid, and shellfish.",pers-3
