id,en_question,score,true_answer,pred_answer,cos score
Al-en-33,What do people do to celebrate Halloween in China?,3,"['gathering', 'dress up', 'party']","People in China do not have a widespread tradition of celebrating Halloween like it is in Western countries. However, with the increasing influence of globalization, some urban areas, particularly among expats and young Chinese, might organize Halloween-themed events or parties for fun and cultural exchange. These activities are not an integral part of Chinese culture but rather a imported celebration.",0.192881212
Al-en-34,What do people do to celebrate New Year's Day in China?,4,"['dumplings', 'spring outing', 'watch the spring festival gala', ""pay a new year's visit"", 'pasting spring couplets', 'pasting chinese couplets', 'set off firecrackers', 'visit relatives', 'have the reunion dinner', 'pasting new year scrolls']","People in China celebrate New Year's Day (Spring Festival) with various customs, including family reunions, eating团圆饭 (a big feast), setting off fireworks, giving red envelopes (hongbao) filled with money, watching dragon and lion dances, and decorating with couplets and lanterns.",0.327755332
Al-en-35,What do people do to celebrate Christmas in China?,3,"['gathering', 'have a big meal', 'send apples', 'shopping', 'party']","People in China celebrate Christmas in various ways, although it is not an officially recognized holiday like in many Western countries. Some Christians observe religious traditions, while others participate in festive activities for cultural exchange or simply as a global celebration. These may include decorating Christmas trees, exchanging gifts, having holiday-themed events, enjoying Western-style cuisine, or watching movies and concerts.",0.106577151
Al-en-36,What food is associated with Halloween in China?,1,['pumpkin'],Mooncakes.,0.352498829
Al-en-37,What food is associated with Christmas in China?,1,"['apple', 'fried chicken', 'steak', 'roast chicken', 'pizza', 'mulled wine', 'turkey']","Rice cake (also known as ""nian gao"" in Chinese) is a traditional food associated with Christmas in China, although it is more commonly consumed during the Chinese New Year. It symbolizes progress and prosperity for the coming year.",0.150712565
Al-en-38,What food is associated with Valentine's day in China?,1,['chocolate'],Red date (also known as Chinese Valentine's Day cake or Nián Gāo) is traditionally associated with Valentine's Day in China.,0.230092555
Al-en-39,What do people eat on their birthday in China?,5,"['birthday cake', 'home-style cooking', 'cake', 'noodles', 'longevity noodles']",People eat noodles on their birthday in China.,0.451006621
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,5,"['park', ""children's park"", 'outdoor playground', 'amusement park']","One popular outdoor place for families to have fun with little kids in China is the amusement park, specifically Disneyland or other themed parks like Happy Valley.",0.402998805
Al-en-43,What is a popular indoor activity for families in China?,5,"['watch tv', 'play mahjong', 'dou dizhu', 'mahjong']",Mahjong,0.723926127
An-ar-02,Where do university students have lunch in China?,5,"['university cafeteria', 'canteen']",University students in China typically have lunch in their university canteens (食堂) or dining halls.,0.533140957
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),1,"['1', '6', '7']",12,0.278006971
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",4,"['8', '15', '9', '11', '10']","The answer is not provided in the given information. However, on average, Chinese high school students typically spend around 7-9 hours per day attending classes, excluding breaks and extracurricular activities.",0.251331091
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)",2,"['3', '2']","The number of languages that students study at high school in China is not a fixed value, as it can vary depending on the curriculum and local education policies. Generally, Chinese students learn Mandarin as their primary language and may study English or other foreign languages like English, French, Spanish, or German. However, without specific data, I cannot provide an exact number. It is common for them to study at least two foreign languages, but the number could be more or less in different regions.",0.062921025
An-ar-34,What is the most popular sport played in a team at school in China?,5,"['volleyball', 'soccer', 'basketball', 'football']",The most popular sport played in a team at school in China is basketball.,0.32313922
An-ar-35,Who is the most popular sport commentator in China?,1,['huang jianxiang'],"The most popular sport commentator in China can vary depending on personal preferences and current popularity, but one well-known and highly respected figure is Sun Zhihan, who is known for his commentary on basketball matches, particularly on the Chinese Basketball Association (CBA) and the national team.",0.210248262
An-ar-36,What is the most popular sport team in China?,3,"['guangzhou evergrande', 'table tennis team', 'national diving team', 'manchester united', 'real madrid', 'shandong luneng', 'ping pong team']","The most popular sport team in China is typically the Chinese national soccer (football) team, particularly the men's team, although individual clubs like Guangzhou Evergrande Taobao in football and Beijing Ducks in basketball also have significant fan followings.",0.355329454
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,4,"['home', 'bar', 'family', 'barbecue restaurant', 'pub']","Television homes, public sports bars, and internet platforms (such as online streaming services) are common places where individuals in China gather to watch sports broadcasts.",0.195591792
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)",5,['3'],Three,0.54136771
Ca-sp-06,Which is the most important meal of the day to people from China?,5,"['breakfast', 'dinner', 'lunch']",Breakfast,0.676180303
Ca-sp-08,What is the most common ingredient used in China's diet?,5,"['scallions', 'ginger', 'garlic', 'noodles', 'rice', 'white flour', 'spring onion']",Rice,0.719281018
Ca-sp-09,What do people from China usually eat for dessert?,2,"['mooncake', 'cake', 'osmanthus cake', 'cakes and pastries', 'pastry']",Tangyuan (汤圆),0.394948661
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,1,"['whenever it happens, it happens', 'friday', 'saturday']","In China, people usually organize a family meal on Sundays.",0.259025127
Ca-sp-14,Which is the most popular hot drink in China?,5,"['tea', 'milk tea']","The most popular hot drink in China is tea, specifically green tea and jasmine tea.",0.429208994
Ca-sp-19,What do young people from China usually drink at the night club?,5,"['beer', 'alcohol', 'cocktail', 'foreign liquor']","It is difficult to provide a single answer as young people from China, like those in any other country, have diverse drinking preferences. However, some popular beverages among them at nightclubs might include alcohol such as beer (Chinese brands like Harbin Beer or Tsingtao), cocktails, and soft drinks for those who don't drink alcohol.",0.317108721
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),1,"['1', '2']",7 (July) and 8 (August) are commonly considered peak holiday months in China due to the summer vacation for students and the National Day holiday in October.,0.030019253
Ca-sp-29,What tradition is there in China for New Year's Eve?,5,"[""staying up late on new year's eve"", 'making dumplings', 'set off fireworks', 'watch the spring festival gala', 'set off firecrackers', 'send red envelope', 'lucky money', 'eat dumplings', 'have the reunion dinner', 'family reunion']",Family reunion dinner.,0.747257411
Ca-sp-38,Which is the typical type of house for a family in China?,4,"['self-built house', 'house', 'villa', 'apartment building', 'apartment']","The typical type of house for a family in China varies depending on factors such as location, urban vs. rural, and income level. In urban areas, especially in larger cities, apartment buildings (单元楼 yuán wù lóu) are common. For families in smaller towns or rural areas, traditional courtyard houses (四合院 sì hé yuàn) or newer suburban villa-style homes (联排别墅 lián pái bié shù) are more prevalent. However, a single answer that could represent many families would be a ""multi-story dwelling with apartments,"" as it encompasses both urban and suburban housing options.",0.239177361
Ca-sp-41,Where do the dependent elderly usually live in China?,3,"['home', ""children's home"", 'rural hometown', 'countryside', 'hiring nursing staff to take care', 'rural area', 'nursing home']","In China, the dependent elderly usually live with their families, particularly their adult children, in nuclear families or extended family households. This is due to the traditional Chinese culture of filial piety and the support system provided by the family. Some also reside in senior care facilities or communities, especially in urban areas.",0.340225399
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",5,"['14', '24', '2']",24,0.749739349
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",1,"['0', '1', '3 days']",20,0.263128936
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,3,"['beach', 'popular city attractions', 'seaside', 'ancient town', 'countryside views', 'garden', 'rural beauty', 'mountain']",Beijing and Shanghai,0.289814234
Gu-ch-05,What sports do seniors like the most in China?,3,"['practice tai chi', 'playing tai chi', 'walk', 'square dancing', 'square dance', 'tai chi']","Tai Chi, Badminton, Table Tennis, and Squash are popular sports among seniors in China.",0.414989591
Gu-ch-06,What sports do men like to play the most in China?,5,"['basketball', 'ping pong', 'soccer', 'football', 'table tennis']",Table tennis.,0.666050792
Gu-ch-07,Who is the most famous basketball player in China?,5,"['zheng haixia', 'wang zhizhi', 'haixia zheng', 'jianlian yi', 'yao ming', 'mu tiezhu', 'ming yao', 'zhizhi wang', 'yi jianlian', 'tiezhu mu']",Yao Ming,0.685984552
Gu-ch-08,What is the most popular sports among children in China?,5,"['basketball', 'soccer', 'football', 'table tennis', 'running']",The most popular sports among children in China is table tennis.,0.453692168
Gu-ch-09,What sports do women like to play the most in China?,5,"['yoga', 'square dance', 'ping pong', 'running', 'table tennis', 'badminton']",Table tennis.,0.666050792
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,5,"['ping pong', 'diving', 'table tennis', 'weightlifting']",China has won the most gold medals in table tennis at the Olympics.,0.434934199
Gu-ch-15,What sports do male students in university like to play the most in China?,2,"['basketball', 'soccer', 'football', 'swimming', 'badminton', 'video game']",Table Tennis,0.484971762
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)",5,['3'],The average number of people in a family in China is approximately 3.,0.25173074
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)",3,"['1', '2']","The one-child policy in China was implemented from 1979 to 2016, allowing couples to have only one child. However, after the policy was relaxed in 2016, families were allowed to have two children. The exact average number of children per couple can vary, but it is not a fixed number. In general, under the two-child policy, families might have an average of around 1.5 to 2 children. Given this information, a single answer cannot be provided in Arabic numerals without more recent data. If you need the most up-to-date statistics, please consult recent demographic reports.",0.118933506
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)",5,['6'],6,0.625335276
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)",5,['9'],9,0.677209914
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['10', '6', '3', '11', '5']",6,0.625335336
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)",5,['4'],4,0.571916521
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",2,"['17:00', '16:00', '16:30']","The specific time for younger elementary school students to finish school in China varies across provinces and cities, as school schedules can differ. However, a common release time is around 14:30 or 15:00 (02:30 or 03:00 PM) in many urban areas. Please note that this might not be universal, and some schools may have earlier or later dismissal times.",0.261714607
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)",1,"['0', '1', '2']","As an AI, I don't have access to current statistics or specific data on the exact number of musical instruments that elementary school students in China typically play. However, it's important to note that music education in China varies across regions and schools, with some emphasizing traditional Chinese instruments while others focus on a broader range of instruments. A general answer cannot be provided with certainty in阿拉伯数字 (Arabic numerals).",0.135570928
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,4,"['friday', 'saturday']","People in China prefer to have company dinners on weekends, typically Saturdays or Sundays.",0.294080287
Ji-ko-03,Which region/city has the highest number of financial companies in China?,5,"['hong kong', 'beijing', 'shanghai']",Shanghai,0.683403552
Ji-ko-07,What is the most famous private company in China?,5,"['jd.com, inc.', 'alibaba', 'tencent', 'huawei', 'jd.com']",The most famous private company in China is Alibaba Group.,0.469048262
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)",1,"['50', '72', '60', '76', '45', '40']",44,0.424020559
Ji-ko-09,What do people typically eat during company get-together in China?,4,"['dim sum', 'dumplings', 'cake', 'cold dish', 'hot pot', 'barbecue', 'hot dishes', 'fruit']","People typically eat various dishes, including traditional Chinese cuisine, during company get-togethers in China. This may include dim sum, hot pot, roast duck, dumplings, and a variety of seafood and vegetable options.",0.396623403
Ji-ko-14,What is the representative export item of China?,4,"['shoes', 'rice', 'mobile phone', 'textile', 'clothes', 'yiwu small commodities']","China's representative export items include electronics, machinery, clothing, textiles, furniture, and consumer goods such as electronics (e.g., smartphones, computers), appliances, toys, and electronics components.",0.289773166
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",5,"['1.5', '1', '0.5']",1.5,0.734665036
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,5,"['home', 'postpartum care center', 'hospital', 'family', 'maternal home']","In China, mothers typically stay in a postpartum care facility or their own home (depending on the family's preference and resources) for a period of 42 days, also known as ""坐月子"" (sitting the month), for recovery after childbirth.",0.442645878
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,1,['carnation'],China's most commonly given flower on Parents' Day is the peony (牡丹).,0.326053768
Ji-ko-22,What do people especially spend their first salary on in China's society?,3,"['treat friends/family to a meal', 'presents', 'shopping', 'gift', 'clothes']","In China's society, people often spend their first salary on necessities, such as accommodation, food, and personal items. This may also include experiences like treating themselves or their family to a special meal or celebration.",0.298533648
Ji-ko-24,What is the most preferred recreational facility among children in China?,4,"['slide', 'swing', 'little train', 'amusement park', 'disney']","Based on the information available, the most preferred recreational facility among children in China is typically parks, specifically the nature-themed or amusement parks like Happy Valley, Disney Land/Disneyland, and other local theme parks. These places offer a wide range of rides, games, and activities that are popular among children. However, it's important to note that preferences may vary depending on the region and individual child interests.",0.367025971
Ji-ko-25,What are the family-related holidays in China?,5,"[""father's day"", 'mid-autumn festival', 'double ninth festival', 'lunar new year', 'chinese new year', 'qingming festival', 'spring festival', ""mother's day"", 'dragon boat festival']","In China, the main family-related holidays include:

1. Chinese New Year (Spring Festival) - usually in late January or early February, celebrating the lunar new year and family reunions.
2. Mid-Autumn Festival - held in September or October, a time for moon worship and family gatherings around a feast.
3. Dragon Boat Festival - in June, honoring the poet Qu Yuan with dragon boat races and zongzi (glutinous rice dumplings).
4. Tomb-Sweeping Day (Qingming Festival) - in early April, a day to pay respects to ancestors and扫墓 (sweep tombs).
5. Double Ninth Festival (Chongyang Festival) - in late September or early October, a celebration of longevity and often involves climbing mountains with family.

These are some of the most significant holidays that emphasize family gatherings and traditions in China.",0.445040286
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,3,"['work', 'college graduate', 'buy a house', 'get married']","In China's society, key milestones associated with children's independence from their parents include:

1. Starting school (usually around 6 years old)
2. Graduating from high school (approximately 18 years old)
3. Completing college or university (typically 22-24 years old)
4. Getting a job and starting to support themselves financially
5. Marriage and forming their own household
6. Having children and becoming a parent themselves, passing on the responsibility to the next generation.",0.260718763
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,3,"['health care products', 'money', 'food', 'milk', 'fruit basket', 'alcohol']",Red envelopes (hongbao),0.291560113
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,1,"['birth feast', 'first month', 'one month old', 'hundred days']","The first day that people celebrate after a child is born in China is the third day (also known as the ""Sanming Ji,"" or Three Days Festival). This is when the baby's grandparents, relatives, and friends visit the family to bring gifts and blessings for the new arrival.",0.342539489
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,2,"['90', '60', '20', '80', '18']","The oldest age, i.e., 100 years old, is celebrated the most grandly in Chinese society. It is considered a significant milestone and is often celebrated with great fanfare as it symbolizes longevity and a full life.",0.103004254
Ji-ko-31,Where do middle and high school students in China usually study for exams?,5,"['classroom', 'school', 'can study anywhere', 'extracurricular tutoring class']",Middle and high school students in China usually study for exams at their respective schools.,0.350720197
Ji-ko-33,Where do high school students in China usually go after dinner?,3,"['playground', 'go home', 'school classroom', 'home', 'student accommodation', 'dormitory', 'extracurricular tutoring class']",High school students in China usually go to classes after dinner.,0.341204524
Ji-ko-34,How do elementary school students in China go to school?,5,"['take the bus', 'walk', 'parent pick-up and drop-off']","Elementary school students in China usually go to school by walking, biking, taking a bus, or being dropped off by their parents or guardians, depending on their proximity to the school and local transportation options.",0.373285234
Ji-ko-35,What is the most common form of private education in China?,4,"['international exchange', 'private school', 'kindergarten', 'foreign language school', 'internation school']","The most common form of private education in China is independent schools (or private schools) known as ""贵族学校"" (guìzú xuéxiào), which often cater to wealthier families and offer a more elite education.",0.482004672
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,1,"['mathematics', 'physics', 'english']","In China, middle and high school students most frequently attend general high schools (普通高中), which are part of the public education system. Private schools, such as international schools or elite boarding schools, are also present but less common compared to public institutions.",0.091778025
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,4,"['sportswear', 'school uniform']","In China, middle and high school students typically wear uniforms to school.",0.529875338
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,5,"['architecture', 'aerospace science', 'law', 'medicine', 'finance', 'computer science']",The most difficult major to gain admission to in China is typically Medicine (especially in top-ranked medical schools like Peking University Health Science Center or Tsinghua University School of Medicine). The competition for these seats is extremely high due to their limited availability and the prestige associated with the field.,0.23081708
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,5,"['piano', 'vertical flute', 'guitar', 'electronic keyboard', 'violin', 'harmonica', 'erhu']",Piano,0.654740453
Ji-ko-40,What do high school students typically do during break time in schools in China?,4,"['exercise', 'sleep', 'sports', 'do homework', 'go to the toilet', 'chat', 'play', 'study']","High school students in China typically use their break time to socialize, chat with friends, go to the restroom, grab a snack or drink, and sometimes participate in outdoor activities or study groups.",0.224223226
Ji-ko-41,What kind of shoes do students wear in schools in China?,4,"['leather shoes', 'sneakers']","It is difficult to provide a single answer as shoe preferences in schools across China can vary greatly depending on region, school policies, and personal choices. However, many students may wear sneakers, athletic shoes, or casual shoes suitable for physical activities and comfort during classes. School uniforms might also dictate specific shoe requirements.",0.331392586
Ji-ko-42,What are the required subjects in China's university entrance exam?,3,"['literature', 'chinese', 'mathematics', 'math', 'english']","In China's university entrance exam, also known as the National College Entrance Examination (NCEE), students typically need to take the following core subjects:

1. Chinese Language and Literature
2. Mathematics
3. Foreign Language (usually English)
4. Physics
5. Chemistry
6. Biology
7. Geography
8. History
9. Political Science and/or Geography (combined for some provinces)
10. Moral Education/Philosophy and Ethics (varies by province)

Additionally, some universities may have specific subject requirements or allow students to choose from an elective list. The exact combination and number of electives can vary depending on the student's interests and the university they apply to.",0.306146771
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,3,"['beijing', 'shanghai', 'zhejiang']","It is difficult to pinpoint a specific region within a Chinese city as having the highest academic fervor, as this can vary depending on factors such as educational institutions, local policies, and cultural emphasis on education. However, some areas with prestigious universities like Beijing's Haidian District (home to Tsinghua University and Peking University) or Shanghai's Hongqiao District (home to Fudan University) might be perceived as having a higher academic intensity. Overall, the enthusiasm for education is widespread across many regions in China due to the country's emphasis on education and the competitive nature of its higher education system.",0.324877292
Ji-ko-45,What do people look forward to the most at university festivals in China?,3,"['party', 'holiday', 'national day', 'dance']",Performances and Cultural Activities,0.291848481
Jo-sp-01,What is the second most popular sport in China?,1,"['soccer', 'basketball', 'football']",Table tennis.,0.310213745
Jo-sp-02,What is the most popular sport played without a ball in China?,1,"['jump rope', 'guandan', 'chinese chess', 'square dance', 'shuttlecock kicking', 'fishing', 'swimming']",The most popular sport played without a ball in China is Tai Chi.,0.331459433
Jo-sp-09,What sports are most associated with the upper class in China?,3,"['golf', 'tennis']",Golf and horse racing are most commonly associated with the upper class in China.,0.304053336
Jo-sp-13,What is the most popular water sport in China?,5,"['parasailing', 'diving', 'dragon boat racing', 'jet ski', 'swimming', 'scuba diving']",The most popular water sport in China is swimming.,0.452028006
Jo-sp-14,What is the most popular mental sport in China?,5,"['chinese chess', 'dou dizhu', 'go', 'mahjong']",Chinese Chess (also known as Xiangqi) is the most popular mental sport in China.,0.495332956
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['116', '15', '115', '10', '11']",11,0.682156503
Jo-sp-19,What region in China has been traditionally associated with agriculture?,5,"['northeast plain', 'the middle-lower yangtze plain', 'north china plain', 'northeast', 'guangdong', 'henan']","The region in China that has been traditionally associated with agriculture is the North China Plain, particularly around the Yellow River valley. This area, also known as the Huabei, is fertile and supports a long history of agricultural production.",0.475977421
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['12:00', '11:30', '13:00', '12:30']",12:00,0.78490752
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",1,"['22:00', '21:00', '20:00', '18:00', '17:15']",15:00,0.605325937
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,1,"['sit and reach', 'jump rope', 'basketball', 'soccer', 'football', 'kick shuttlecock', 'running', 'tug of war', 'standing long jump']",答案: Martial arts (such as Tai Chi or gymnastics),0.279877484
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['8', '7', '9', '6', '10']",The duration of summer vacations at elementary schools in China is typically around 10 weeks.,0.245651484
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",2,"['8', '3', '7']",لا معلومات كافية للإجابة على هذا السؤال. فترات الإجازة الصيفية في الجامعات في الصين تختلف من instituition إلى أخرى وتشمل عادةً ما بين 6 إلى 12 أسبوعًا. لذلك، لا يمكن تحديد odpowiedي بالضبط في الأرقام العربية.,0.032041904
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['6', '7']",6,0.625335276
Jo-sp-43,"How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['1', '2']",1,0.545344532
Jod-ch-01,What eating utensils do people commonly used in China?,5,['chopsticks'],Chopsticks.,0.726659298
Jod-ch-04,What soft drink do people in China like to have?,1,"['bubble tea', 'coke', 'green tea', 'tea', 'milk tea', 'cola', 'oriental leaf']",Sprite,0.438361675
Jod-ch-06,What is the most popular traditional alcohol in China?,4,"['bai', 'white liquor', 'moutai liquor', 'moutai', 'chinese spirits']",The most popular traditional alcohol in China is baijiu.,0.47145921
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",4,"['1.5', '1', '2']","As there is no specific data available on the exact average time people in China spend on dinner at a restaurant, I cannot provide an accurate number. However, a common assumption could be around 1-2 hours, considering that meals often involve socializing and can last longer than a quick lunch. Please note that this is an estimate and actual times may vary greatly depending on factors like location, cuisine, and individual preferences.",0.110722706
Jod-ch-09,"What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['18:00', '19:00']",18:00,0.783519864
Jod-ch-12,What kind of soup do people from China like to have?,2,"['tomato potato soup', 'tomato egg soup', 'fresh soup', 'stock', 'pork bone soup']","There are numerous types of soups that people in China enjoy, so it's difficult to pinpoint just one. Some popular examples include hot pot (huoguo), wonton soup (yàn wù tāng), egg drop soup (dàn chǎo tuō), and congee (zhōu). Each region and culture has its own unique soup preferences.",0.359899551
Jod-ch-13,What street food do people from China like to eat?,2,"['roasted sausage', 'sugar-coated haws', 'fried skewers', 'gluten', 'barbecue skewers', 'tanghulu', 'candied haw', 'stinky tofu']","Rice noodles (such as Xiao Mi Fan or Dan Dan Mian), Jianbing, Baozi (steamed buns), Jian Du Juan (Chinese donuts), Zhajiangmian (noodles with soybean paste), and various types of dumplings (Jiaozi) are popular street foods in China.",0.23336643
Jod-ch-15,What kind of seafood do people from China like to eat?,5,"['perch', 'fish', 'crab', 'seabass', 'lobster', 'salmon', 'prawn', 'shrimp']","People from China enjoy a wide variety of seafood, including popular dishes such as fish (e.g., carp, salmon), shrimp, crab, lobster, squid, oysters, scallops, and various types of shellfish. They also consume sea cucumbers, abalone, and other marine delicacies, depending on regional preferences and cultural traditions. Chinese cuisine is diverse and incorporates seafood into many different cooking styles, from Cantonese dim sum to spicy Sichuan dishes.",0.321006387
Jod-ch-16,What is the biggest festival in China?,5,"['lunar new year', 'mid-autumn festival', 'spring festival', 'chinese new year']","The biggest festival in China is the Chinese New Year, also known as Spring Festival.",0.532857955
Jod-ch-28,What is the most commonly used public transport by people when travelling between cites in China?,4,"['airplane', 'high-speed train', 'self-driving', 'high-speed rail', 'railway']",Train.,0.564859927
Jod-ch-30,What are the specific decorations or symbols associated with the most biggest festival in China?,4,"['spring festival couplets', 'new year scrolls', 'firecrackers', 'chinese knot', 'couplet', 'chinese couplets', 'lantern']","The specific decorations or symbols associated with the biggest festival in China, which is the Chinese New Year (Spring Festival), include:

1. Red lanterns
2. couplets (red paper scrolls with auspicious couplets)
3. Chinese New Year paintings (nianhua)
4. Paper cutouts (窗花)
5. Firecrackers and fireworks
6. Dragon and lion dances
7. Red envelopes (hongbao) filled with money
8. Fish (a symbol of abundance)
9. Peony flowers (for prosperity)
10. The zodiac animal of the year, with its corresponding decorations and motifs.",0.406689674
Jod-ch-37,What sports do women like to watch the most in China?,4,"['basketball', 'diving', 'ping pong', 'mahjong', 'table tennis', 'swimming', ""women's volleyball""]","Based on available data, women in China tend to enjoy watching a variety of sports, with basketball (Women's Chinese Basketball Association), volleyball (national women's volleyball team is particularly popular), table tennis, and badminton being some of the most popular among female audiences. However, it's important to note that individual preferences may vary.",0.345501453
Jod-ch-38,What sports do men like to watch the most in China?,1,"['formula 1', 'basketball', 'diving', 'formula one', 'soccer', 'football', 'f1']",Table Tennis,0.321706563
