id,en_question,score,true_answer,pred_answer,reason
Al-en-21,Which subject is the most important for gifted education in China?,5,"['mathematics', 'math', 'computer science']",Mathematics,The predicted answer 'Mathematics' matches one of the true answers 'mathematics' under case-insensitive comparison.
Al-en-32,What is the main dish for Thanksgiving in China?,1,"['roast chicken', 'fish']",China doesn't celebrate Thanksgiving.,"The predicted answer is unrelated to the true answers. It states that China doesn't celebrate Thanksgiving, while the true answers provide specific dishes."
Al-en-33,What do people do to celebrate Halloween in China?,4,"['party', 'dress up', 'gathering']",Parties and costumes.,"The predicted answer 'Parties and costumes' is very similar to the true answers. 'Parties' matches 'party' after singular/plural normalization, and 'costumes' is closely related to 'dress up'."
Al-en-34,What do people do to celebrate New Year's Day in China?,3,"['visit relatives', 'dumplings', 'pasting chinese couplets', ""pay a new year's visit"", 'have the reunion dinner', 'set off firecrackers', 'pasting spring couplets', 'pasting new year scrolls', 'watch the spring festival gala', 'spring outing']","Fireworks, family dinner","The predicted answer 'family dinner' is somewhat related to 'have the reunion dinner', and 'fireworks' is related to 'set off firecrackers'. However, neither matches exactly or through normalization, and the predicted answer does not cover the full scope of the true answers."
Al-en-35,What do people do to celebrate Christmas in China?,3,"['send apples', 'have a big meal', 'party', 'gathering', 'shopping']","They often exchange gifts, decorate with Christmas lights, and enjoy a special meal. However, it's not a public holiday and not widely celebrated like in Western countries.","The predicted answer mentions 'enjoy a special meal', which is somewhat related to 'have a big meal' from the true answers. However, other elements like 'exchange gifts' and 'decorate with Christmas lights' do not match the true answers. The predicted answer captures some aspects of celebration but lacks specific matches with the true answers."
Al-en-36,What food is associated with Halloween in China?,1,['pumpkin'],Halloween snacks,The predicted answer 'Halloween snacks' is unrelated to the true answer 'pumpkin'. There is no direct or semantic similarity between the two.
Al-en-37,What food is associated with Christmas in China?,5,"['pizza', 'roast chicken', 'mulled wine', 'steak', 'fried chicken', 'turkey', 'apple']",Apple,The predicted answer 'Apple' matches one of the true answers exactly.
Al-en-38,What food is associated with Valentine's day in China?,5,['chocolate'],Chocolate,The predicted answer 'Chocolate' matches the true answer 'chocolate' under case-insensitive comparison.
Al-en-39,What do people eat on their birthday in China?,5,"['longevity noodles', 'cake', 'noodles', 'home-style cooking', 'birthday cake']",Longevity noodles,The predicted answer 'Longevity noodles' matches one of the true answers 'longevity noodles' under case-insensitive comparison.
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,4,"['amusement park', 'park', ""children's park"", 'outdoor playground']",Public parks or zoos,"The predicted answer 'Public parks or zoos' includes 'parks', which matches 'park' from the true answers after normalization. However, 'zoos' is not directly mentioned in the true answers, but it is a related outdoor place for families with kids. Therefore, the answer is very similar but not identical."
Al-en-43,What is a popular indoor activity for families in China?,5,"['dou dizhu', 'mahjong', 'play mahjong', 'watch tv']",watching TV,The predicted answer 'watching TV' matches the true answer 'watch tv' under case-insensitive comparison.
An-ar-02,Where do university students have lunch in China?,5,"['canteen', 'university cafeteria']",In the university canteen.,The predicted answer 'In the university canteen' matches the true answer 'canteen' after case-insensitive comparison and normalization.
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),5,"['1', '6', '7']",6,The predicted answer '6' matches one of the true answers '6' under case-insensitive comparison.
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",5,"['9', '8', '15', '11', '10']",10,The predicted answer '10' matches one of the true answers exactly.
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)",5,"['3', '2']",2,The predicted answer '2' matches one of the true answers '2' under case-insensitive comparison.
An-ar-34,What is the most popular sport played in a team at school in China?,5,"['football', 'soccer', 'basketball', 'volleyball']",Basketball,The predicted answer 'Basketball' matches one of the true answers 'basketball' under case-insensitive comparison.
An-ar-35,Who is the most popular sport commentator in China?,5,['huang jianxiang'],Huang Jianxiang,The predicted answer 'Huang Jianxiang' matches the true answer 'huang jianxiang' under case-insensitive comparison.
An-ar-36,What is the most popular sport team in China?,5,"['real madrid', 'table tennis team', 'manchester united', 'ping pong team', 'guangzhou evergrande', 'shandong luneng', 'national diving team']",The Chinese National Table Tennis Team,The predicted answer 'The Chinese National Table Tennis Team' matches the true answer 'table tennis team' after normalization and lemmatization.
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,4,"['bar', 'barbecue restaurant', 'pub', 'family', 'home']","Sports bars, homes, and public squares.","The predicted answer 'sports bars' matches with 'bar' and 'pub' after normalization. 'Homes' matches with 'home' directly. 'Public squares' is not mentioned in the true answers but is a plausible venue for watching sports broadcasts. Overall, the predicted answer is very similar to the true answers."
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)",5,['3'],3,The predicted answer '3' matches the true answer '3' under case-insensitive comparison.
Ca-sp-06,Which is the most important meal of the day to people from China?,5,"['breakfast', 'lunch', 'dinner']",Dinner,The predicted answer 'Dinner' matches one of the true answers 'dinner' under case-insensitive comparison.
Ca-sp-08,What is the most common ingredient used in China's diet?,5,"['garlic', 'scallions', 'rice', 'ginger', 'spring onion', 'noodles', 'white flour']",Rice,The predicted answer 'Rice' matches one of the true answers 'rice' under case-insensitive comparison.
Ca-sp-09,What do people from China usually eat for dessert?,2,"['mooncake', 'cake', 'osmanthus cake', 'pastry', 'cakes and pastries']",Red bean soup,"The predicted answer 'Red bean soup' is weakly related to the true answers as it is a type of dessert, but it does not match any of the specific desserts listed in the true answers."
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,2,"['friday', 'whenever it happens, it happens', 'saturday']",Sunday,"The predicted answer 'Sunday' is weakly related to the true answers 'Friday', 'Saturday', and 'whenever it happens, it happens'. While all are days of the week, 'Sunday' does not match any of the true answers."
Ca-sp-14,Which is the most popular hot drink in China?,4,"['milk tea', 'tea']",Green tea,"The predicted answer 'green tea' is a specific type of 'tea', which is one of the true answers. This falls under the sub-category match rule, warranting a high score."
Ca-sp-19,What do young people from China usually drink at the night club?,4,"['cocktail', 'foreign liquor', 'beer', 'alcohol']",Beer or Baijiu,"The predicted answer 'Beer' matches one of the true answers, and 'Baijiu' is a type of 'alcohol', which is also a true answer. Therefore, the prediction is very similar to the true answers."
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),5,"['1', '2']",2,The predicted answer '2' matches one of the true answers '2' under case-insensitive comparison.
Ca-sp-29,What tradition is there in China for New Year's Eve?,5,"[""staying up late on new year's eve"", 'set off fireworks', 'have the reunion dinner', 'making dumplings', 'set off firecrackers', 'watch the spring festival gala', 'eat dumplings', 'family reunion', 'lucky money', 'send red envelope']",Having a family reunion dinner,The predicted answer 'Having a family reunion dinner' matches the true answer 'have the reunion dinner' after case-insensitive comparison.
Ca-sp-38,Which is the typical type of house for a family in China?,5,"['apartment building', 'self-built house', 'house', 'apartment', 'villa']",Apartment,The predicted answer 'Apartment' matches one of the true answers 'apartment' under case-insensitive comparison.
Ca-sp-41,Where do the dependent elderly usually live in China?,3,"['rural area', ""children's home"", 'hiring nursing staff to take care', 'countryside', 'rural hometown', 'home', 'nursing home']",With their adult children.,"The predicted answer 'With their adult children' is somewhat related to the true answer 'children's home', as both imply living with family. However, it does not directly match any of the true answers and does not cover other living arrangements mentioned like 'rural area' or 'nursing home'."
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",1,"['2', '24', '14']",18,"The predicted answer '18' does not match any of the true answers '2', '24', or '14' under case-insensitive comparison, singular/plural normalization, or simple lemmatization. Additionally, '18' is not a sub-category or specific type of any of the true answers."
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",1,"['1', '0', '3 days']",3–4,"The predicted answer '3–4' weeks does not match any of the true answers '1', '0', or '3 days' after normalization or lemmatization. The predicted duration is significantly longer than the true answers."
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,4,"['mountain', 'beach', 'countryside views', 'seaside', 'ancient town', 'popular city attractions', 'rural beauty', 'garden']",Beach or historical sites,"The predicted answer 'beach' matches with the true answer 'beach' and 'seaside' after normalization. 'Historical sites' is somewhat related to 'ancient town' and 'popular city attractions', but not a direct match. Therefore, the answer is very similar but not identical."
Gu-ch-05,What sports do seniors like the most in China?,5,"['square dancing', 'walk', 'square dance', 'tai chi', 'playing tai chi', 'practice tai chi']",Tai Chi,The predicted answer 'Tai Chi' matches one of the true answers 'tai chi' under case-insensitive comparison.
Gu-ch-06,What sports do men like to play the most in China?,5,"['basketball', 'table tennis', 'football', 'soccer', 'ping pong']",Basketball and soccer,The predicted answer 'Basketball and soccer' matches the true answers 'basketball' and 'soccer' after case-insensitive comparison.
Gu-ch-07,Who is the most famous basketball player in China?,5,"['wang zhizhi', 'mu tiezhu', 'yi jianlian', 'zheng haixia', 'yao ming', 'ming yao', 'tiezhu mu', 'haixia zheng', 'jianlian yi', 'zhizhi wang']",Yao Ming,The predicted answer 'Yao Ming' matches one of the true answers 'yao ming' under case-insensitive comparison.
Gu-ch-08,What is the most popular sports among children in China?,5,"['basketball', 'table tennis', 'football', 'running', 'soccer']",Basketball,The predicted answer 'Basketball' matches one of the true answers 'basketball' under case-insensitive comparison.
Gu-ch-09,What sports do women like to play the most in China?,5,"['table tennis', 'square dance', 'running', 'ping pong', 'badminton', 'yoga']",Badminton and Table Tennis,The predicted answer 'Badminton and Table Tennis' matches two of the true answers 'badminton' and 'table tennis' after case-insensitive comparison.
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,5,"['table tennis', 'weightlifting', 'ping pong', 'diving']",Table Tennis,The predicted answer 'Table Tennis' matches one of the true answers 'table tennis' under case-insensitive comparison.
Gu-ch-15,What sports do male students in university like to play the most in China?,5,"['basketball', 'football', 'video game', 'soccer', 'badminton', 'swimming']",Basketball,The predicted answer 'Basketball' matches one of the true answers 'basketball' under case-insensitive comparison.
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)",5,['3'],3,The predicted answer '3' matches the true answer '3' under case-insensitive comparison.
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)",4,"['1', '2']",1,"The predicted answer '1' matches one of the true answers exactly, but not all. Therefore, it is very similar but not identical."
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)",5,['6'],6,The predicted answer '6' matches the true answer '6' under case-insensitive comparison.
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)",5,['9'],9,The predicted answer '9' matches the true answer '9' under case-insensitive comparison.
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['3', '6', '5', '11', '10']",6,The predicted answer '6' matches one of the true answers exactly.
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)",5,['4'],4,The predicted answer '4' matches the true answer '4' under case-insensitive comparison.
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['16:00', '16:30', '17:00']",16:00,The predicted answer '16:00' matches one of the true answers exactly.
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)",5,"['1', '0', '2']",1,The predicted answer '1' matches one of the true answers exactly.
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,5,"['friday', 'saturday']",Friday,The predicted answer 'Friday' matches one of the true answers 'friday' under case-insensitive comparison.
Ji-ko-03,Which region/city has the highest number of financial companies in China?,5,"['beijing', 'hong kong', 'shanghai']",Shanghai,The predicted answer 'Shanghai' matches one of the true answers after case-insensitive comparison.
Ji-ko-07,What is the most famous private company in China?,5,"['jd.com', 'jd.com, inc.', 'alibaba', 'huawei', 'tencent']",Alibaba Group,The predicted answer 'Alibaba Group' matches the true answer 'alibaba' after case-insensitive comparison.
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)",2,"['40', '72', '60', '50', '76', '45']",44,The predicted answer '44' is weakly related to the true answers as it is close to some of the true values but does not match any of them.
Ji-ko-09,What do people typically eat during company get-together in China?,4,"['dumplings', 'barbecue', 'fruit', 'hot pot', 'dim sum', 'cake', 'cold dish', 'hot dishes']",Hot pot or Peking duck,"The predicted answer 'hot pot' matches one of the true answers exactly, but 'Peking duck' does not match any of the true answers. Since one part of the predicted answer is correct, the score is high but not perfect."
Ji-ko-14,What is the representative export item of China?,2,"['shoes', 'rice', 'yiwu small commodities', 'textile', 'mobile phone', 'clothes']",Electronics,"The predicted answer 'Electronics' is weakly related to the true answers as both are categories of export items from China, but there is no direct match or sub-category relationship."
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",3,"['1', '0.5', '1.5']",2,"The predicted answer '2' is somewhat related to the true answers as it is a plausible duration for a lunch break, but it does not match any of the true answers directly or after normalization."
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,5,"['family', 'maternal home', 'postpartum care center', 'home', 'hospital']",home,The predicted answer 'home' matches one of the true answers 'home' under case-insensitive comparison.
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,5,['carnation'],Carnation,The predicted answer 'Carnation' matches the true answer 'carnation' under case-insensitive comparison.
Ji-ko-22,What do people especially spend their first salary on in China's society?,4,"['gift', 'presents', 'treat friends/family to a meal', 'clothes', 'shopping']",A gift for parents,"The predicted answer 'A gift for parents' is very similar to the true answers 'gift' and 'presents'. It specifies a common cultural practice of giving gifts to parents, which aligns closely with the general concept of giving gifts."
Ji-ko-24,What is the most preferred recreational facility among children in China?,4,"['little train', 'amusement park', 'swing', 'disney', 'slide']",Public playgrounds or amusement parks,"The predicted answer 'amusement parks' matches one of the true answers 'amusement park' after normalization. 'Public playgrounds' is somewhat related to other true answers like 'swing' and 'slide', but not a direct match."
Ji-ko-25,What are the family-related holidays in China?,5,"['double ninth festival', 'lunar new year', 'mid-autumn festival', 'chinese new year', 'dragon boat festival', ""mother's day"", ""father's day"", 'qingming festival', 'spring festival']","Chinese New Year, Mid-Autumn Festival, Qingming Festival, and Dragon Boat Festival.","The predicted answer includes 'Chinese New Year', 'Mid-Autumn Festival', 'Qingming Festival', and 'Dragon Boat Festival', all of which match the true answers after case-insensitive comparison and normalization."
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,4,"['work', 'buy a house', 'get married', 'college graduate']","Starting school, graduating from university, getting a job, and getting married.","The predicted answer includes 'getting married' which matches exactly with a true answer. 'Graduating from university' is very similar to 'college graduate'. 'Getting a job' is semantically similar to 'work'. However, 'starting school' and 'buy a house' do not match, so the overall similarity is high but not perfect."
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,3,"['health care products', 'money', 'fruit basket', 'food', 'alcohol', 'milk']",Fruit or tea,"The predicted answer 'fruit' is somewhat related to the true answer 'fruit basket', but 'tea' is not directly mentioned in the true answers. The predicted answer partially overlaps with the true answers, indicating a somewhat related response."
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,5,"['one month old', 'first month', 'birth feast', 'hundred days']",One-month birthday,"The predicted answer 'one-month birthday' matches the true answers 'one month old' and 'first month' after normalization and lemmatization, as they all refer to the celebration that occurs when a child is one month old in China."
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,5,"['90', '20', '60', '18', '80']",60th birthday,The predicted answer '60th birthday' matches one of the true answers '60' after normalization.
Ji-ko-31,Where do middle and high school students in China usually study for exams?,3,"['classroom', 'school', 'can study anywhere', 'extracurricular tutoring class']",At home or in school libraries,"The predicted answer 'at home or in school libraries' is somewhat related to the true answers. 'School libraries' can be considered part of 'school', but 'at home' is not mentioned in the true answers. The predicted locations are plausible study places but do not directly match the true answers."
Ji-ko-33,Where do high school students in China usually go after dinner?,3,"['extracurricular tutoring class', 'go home', 'playground', 'school classroom', 'dormitory', 'student accommodation', 'home']",They usually go to their rooms to study or do homework.,"The predicted answer 'go to their rooms to study or do homework' is somewhat related to the true answers 'go home', 'dormitory', and 'student accommodation', as these are places where students might study or do homework. However, it does not directly match any of the true answers."
Ji-ko-34,How do elementary school students in China go to school?,4,"['take the bus', 'walk', 'parent pick-up and drop-off']","Mostly by walking or biking, some are dropped off by parents.","The predicted answer includes 'walking' and 'parent drop-off', which match the true answers. 'Biking' is not mentioned in the true answers, but the overall modes of transportation are very similar."
Ji-ko-35,What is the most common form of private education in China?,2,"['foreign language school', 'private school', 'international exchange', 'internation school', 'kindergarten']",Tutoring or cram schools,"The predicted answer 'Tutoring or cram schools' is weakly related to the true answers. While both involve private education, the predicted answer focuses on supplementary education, whereas the true answers focus on formal private schooling institutions."
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,5,"['english', 'mathematics', 'physics']",Mathematics academy,The predicted answer 'Mathematics academy' matches one of the true answers 'mathematics' after case-insensitive comparison.
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,5,"['school uniform', 'sportswear']",School uniforms,The predicted answer 'School uniforms' matches the true answer 'school uniform' after case-insensitive comparison.
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,5,"['computer science', 'law', 'finance', 'aerospace science', 'medicine', 'architecture']",Medicine,The predicted answer 'Medicine' matches one of the true answers exactly.
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,5,"['piano', 'erhu', 'guitar', 'electronic keyboard', 'violin', 'harmonica', 'vertical flute']",Piano,The predicted answer 'Piano' matches one of the true answers 'piano' under case-insensitive comparison.
Ji-ko-40,What do high school students typically do during break time in schools in China?,4,"['go to the toilet', 'study', 'exercise', 'do homework', 'chat', 'sleep', 'play', 'sports']","They usually study, chat with friends, or play games on their phones.","The predicted answer includes 'study' and 'chat', which match the true answers. 'Play games on their phones' is somewhat related to 'play'. However, it does not cover all aspects like 'exercise', 'do homework', 'sleep', or 'sports'."
Ji-ko-41,What kind of shoes do students wear in schools in China?,5,"['leather shoes', 'sneakers']",Sneakers,The predicted answer 'sneakers' matches one of the true answers exactly.
Ji-ko-42,What are the required subjects in China's university entrance exam?,4,"['mathematics', 'math', 'english', 'literature', 'chinese']","Chinese, Mathematics, English, and a choice between Science (Physics, Chemistry, Biology) and Humanities (Politics, History, Geography).","The predicted answer includes 'Chinese', 'Mathematics', and 'English', which match the true answers. However, it also includes additional information about optional subjects (Science and Humanities) not mentioned in the true answers. The core subjects match, but the extra details prevent a perfect score."
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,4,"['beijing', 'zhejiang', 'shanghai']",Haidian District in Beijing,"The predicted answer 'Haidian District in Beijing' is a specific region within one of the true answers, 'Beijing'. This makes it a sub-category match, which warrants a high score."
Ji-ko-45,What do people look forward to the most at university festivals in China?,2,"['holiday', 'national day', 'dance', 'party']",Performances and food stalls,"The predicted answer 'performances and food stalls' is weakly related to the true answers. 'Performances' could be somewhat related to 'dance' and 'party', but 'food stalls' does not match any of the true answers. Overall, the connection is weak."
Jo-sp-01,What is the second most popular sport in China?,5,"['soccer', 'basketball', 'football']",Basketball,The predicted answer 'Basketball' matches one of the true answers 'basketball' under case-insensitive comparison.
Jo-sp-02,What is the most popular sport played without a ball in China?,2,"['guandan', 'square dance', 'jump rope', 'fishing', 'shuttlecock kicking', 'chinese chess', 'swimming']",Badminton,"The predicted answer 'Badminton' is weakly related as it is a sport played without a ball, but it does not match any of the true answers provided."
Jo-sp-09,What sports are most associated with the upper class in China?,5,"['tennis', 'golf']",Golf and Tennis,The predicted answer 'Golf and Tennis' matches the true answers 'tennis' and 'golf' after case-insensitive comparison.
Jo-sp-13,What is the most popular water sport in China?,5,"['scuba diving', 'jet ski', 'dragon boat racing', 'diving', 'swimming', 'parasailing']",Swimming,The predicted answer 'Swimming' matches one of the true answers 'swimming' under case-insensitive comparison.
Jo-sp-14,What is the most popular mental sport in China?,5,"['dou dizhu', 'chinese chess', 'mahjong', 'go']",Go (Weiqi),The predicted answer 'Go (Weiqi)' matches one of the true answers 'go' after case-insensitive comparison and normalization.
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)",5,"['116', '15', '115', '11', '10']",11,The predicted answer '11' matches one of the true answers exactly.
Jo-sp-19,What region in China has been traditionally associated with agriculture?,5,"['northeast', 'the middle-lower yangtze plain', 'henan', 'north china plain', 'guangdong', 'northeast plain']",North China Plain,The predicted answer 'North China Plain' matches one of the true answers exactly.
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['12:30', '11:30', '13:00', '12:00']",12:00,The predicted answer '12:00' matches one of the true answers exactly.
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",3,"['17:15', '18:00', '21:00', '20:00', '22:00']",17:00,"The predicted answer '17:00' is somewhat related as it is close to one of the true answers '17:15', but does not match any true answer exactly or after normalization."
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,1,"['sit and reach', 'basketball', 'kick shuttlecock', 'jump rope', 'football', 'running', 'soccer', 'tug of war', 'standing long jump']",Table Tennis,"The predicted answer 'Table Tennis' is unrelated to the true answers, which include activities like 'basketball', 'football', and 'jump rope'. There is no semantic similarity or sub-category relationship between the predicted answer and the true answers."
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['6', '9', '8', '7', '10']",8,The predicted answer '8' matches one of the true answers exactly.
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['8', '3', '7']",8,The predicted answer '8' matches one of the true answers exactly.
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['6', '7']",6,The predicted answer '6' matches one of the true answers exactly.
Jo-sp-43,"How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)",5,"['1', '2']",1,The predicted answer '1' matches one of the true answers '1' under case-insensitive comparison.
Jod-ch-01,What eating utensils do people commonly used in China?,5,['chopsticks'],Chopsticks,The predicted answer 'Chopsticks' matches the true answer 'chopsticks' under case-insensitive comparison.
Jod-ch-04,What soft drink do people in China like to have?,5,"['milk tea', 'coke', 'bubble tea', 'green tea', 'tea', 'cola', 'oriental leaf']",Coca-Cola,The predicted answer 'Coca-Cola' matches 'coke' and 'cola' from the true answers after normalization and lemmatization.
Jod-ch-06,What is the most popular traditional alcohol in China?,4,"['moutai liquor', 'white liquor', 'moutai', 'chinese spirits', 'bai']",Baijiu,"The predicted answer 'Baijiu' is a type of 'white liquor' or 'Chinese spirits', which are among the true answers. This makes it a sub-category match, warranting a high score."
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",5,"['1', '1.5', '2']",1.5,The predicted answer '1.5' matches one of the true answers exactly.
Jod-ch-09,"What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",5,"['19:00', '18:00']",18:00,The predicted answer '18:00' matches one of the true answers exactly.
Jod-ch-12,What kind of soup do people from China like to have?,2,"['pork bone soup', 'fresh soup', 'stock', 'tomato potato soup', 'tomato egg soup']",Hot and sour soup,"The predicted answer 'Hot and sour soup' is a type of soup, which is weakly related to the true answers that are also types of soups. However, there is no direct match or sub-category relationship with any of the true answers."
Jod-ch-13,What street food do people from China like to eat?,2,"['candied haw', 'gluten', 'tanghulu', 'stinky tofu', 'roasted sausage', 'barbecue skewers', 'sugar-coated haws', 'fried skewers']",Jianbing (Chinese crepes),"The predicted answer 'Jianbing (Chinese crepes)' is weakly related to the true answers as it is a type of Chinese street food, but it does not match any of the specific items listed in the true answers."
Jod-ch-15,What kind of seafood do people from China like to eat?,5,"['crab', 'prawn', 'lobster', 'shrimp', 'salmon', 'perch', 'seabass', 'fish']","Shrimp, crab, and fish.","The predicted answer 'Shrimp, crab, and fish' matches multiple true answers ('crab', 'shrimp', 'fish') after normalization and lemmatization."
Jod-ch-16,What is the biggest festival in China?,5,"['chinese new year', 'spring festival', 'lunar new year', 'mid-autumn festival']",Chinese New Year,The predicted answer 'Chinese New Year' matches one of the true answers 'chinese new year' under case-insensitive comparison.
Jod-ch-28,What is the most commonly used public transport by people when travelling between cites in China?,5,"['airplane', 'high-speed train', 'high-speed rail', 'self-driving', 'railway']",High-speed train,The predicted answer 'High-speed train' matches one of the true answers 'high-speed train' under case-insensitive comparison.
