question_id,score,num_annotated_answers,annotated_answers,prediction_preview
Jod-ch-42,0,9,"play games, basketball, running...",Table tennis (ping-pong).
Jod-ch-46,1,2,"1, 0.5",1.5
Jod-ch-48,1,8,"rice, canteen boxed meal, canteen...","People in China eat a variety of dishes for lunch during the working days, which often includes rice..."
Jod-ch-50,1,3,"60, 90, 30",60
Jod-ch-51,1,7,"metro, subway, private car...",Bicycle.
Jod-ch-54,0,2,"3, 2",07
Jod-ch-56,1,3,"55, 60, 65",60
Jod-ch-57,1,3,"60, 65, 61",60
Jod-ch-58,0,7,"teacher, civil servant, company president...","In China, the most respected profession is often considered to be doctors (yīshēng)."
Jod-ch-60,1,2,"8, 9",8
Jod-ch-61,0,4,"teacher, civil servant, social media influencer...",Nursing or education is often considered the most preferred occupations among females in China due t...
Jod-ch-62,1,8,"civil servant, investment bank, doctor...","Traditionally, professionals such as doctors, lawyers, and engineers are often considered highly pre..."
Ki-pe-17,0,5,"undergraduate, bachelor, high school...",12 years
Ki-pe-24,1,2,"chinese, chinese language",Mandarin Chinese.
Ki-pe-30,1,2,"saturday, sunday","In China, weekends are when schools are generally closed. This includes Saturday and Sunday."
Ki-pe-32,1,10,"stir-fry, cold dish, dim sum...",Dumplings or Peking duck.
Ki-pe-34,0,2,"soy milk, milk",Tea.
Ki-pe-36,0,8,"america, us, united states...",Italian
Ki-pe-39,1,7,"fruit, ready-to-cook meal, snacks...","Dumplings, barbecue skewers, rice, and fruits."
Ki-pe-40,1,4,"century egg, preserved egg, dog meat...",Some might consider stinky tofu (chou doufu) as a food that is considered disgusting by foreigners d...
Ki-pe-43,0,5,"european-style bread, european bread, dirty bun...",Baozi
Ki-pe-51,0,2,"18:00, 17:00",12:00
Ki-pe-53,1,2,"09:00, 08:00",09:00
Kik-in-01,1,6,"lunar new year, spring festival, chinese new year...","National Day and Mid-Autumn Festival, together, have the longest duration as a public holiday in Chi..."
Kik-in-02,0,6,"travel, tourism, stay at home...",There is no specific Independence Day in China; the country celebrates National Day on October 1st. ...
Kik-in-04,0,4,"white mourning banner, funeral couplet, white lantern...",A funeral pavilion or altar (灵堂) is installed in front of the house when a family member dies in Chi...
Kik-in-06,1,6,"engagement ceremony, banquet, sacrificial ceremony...",Engagement ceremony (提亲 or 订婚宴)
Kik-in-07,1,7,"red packet, red envelope, red envelope with lucky money...",Red packets (hongbao).
Kik-in-10,1,5,"great wall, forbidden city, the palace museum...",The Great Wall of China.
Kik-in-11,0,8,"shaolin temple, wudang mountains, mount wutai...","The most popular religious site for tourism in China is the Great Wall of China, which is not a reli..."
Kik-in-15,0,3,"academic dress, bachelor's gown, white clothes","Formal attire, often a long gown or a suit with a graduation cap and gown."
Kik-in-16,0,10,"tea, soup, bai...",Hot pot.
Kik-in-17,0,3,"coconut, melon, apple",Mangoes
Kik-in-24,1,3,"rice, fries, meal",Rice.
Kik-in-31,1,5,"chinese kung fu, chinese martial arts, kung fu...",Tai Chi.
Kik-in-34,1,7,"table tennis, basketball, soccer...","Table tennis, basketball, football (soccer), and martial arts (such as Wushu and Kung Fu) are common..."
Kik-in-35,0,3,"aerobics, fitness ring, stay at home",Table tennis.
Kik-in-36,0,4,"li tie, li fenglou, fan zhiyi...",Jia Longqiang
Kik-in-37,0,5,"evergrande vs. luneng, shandong luneng vs guangdong evergrande, shanghai sipg vs shanghai shenhua...",Shanghai SIPG vs Beijing Guoan
Kik-in-38,0,1,beijing guoan vs tianjin teda,Liaoning Steel FC vs Shandong Luneng
Kik-in-40,1,1,lin dan,Lin Dan.
Kik-in-41,0,2,"xie xingfang, chen yufei",Yao Xiong.
Kik-in-44,1,8,"ping pong, table tennis, diving...",Table tennis.
Kik-in-45,1,8,"basketball court, soccer stadium, soccer field...","Schools in China typically have basketball courts, football (soccer) fields, track and field tracks,..."
Na-ko-02,0,4,"latte, latte coffee, milk coffee...","Tea (specifically, either green tea or black tea)"
Na-ko-04,0,6,"porridge, honey water, peanuts...",Ginseng soup or hot chicken soup.
Na-ko-05,0,9,"skewers, barbecue, malatang...",Dumplings.
Na-ko-07,1,3,"pork, chicken, beef",Pork
Na-ko-08,0,4,"apple, pomelo, pear...",Pumpkins.
Na-ko-09,0,6,"green vegetables, stir-fried green vegetables, chinese cabbage...",The most commonly served side dish in China is steamed rice.
Na-ko-11,0,5,"potato chips, chips, food to accompany alcohol...","People from China might eat various snacks or dishes while watching a soccer game, such as dumplings..."
Na-ko-15,0,6,"ginseng, edible bird's nests, swallow nests...",Rice.
Na-ko-16,0,6,"wu lei, lei wu, fan zhiyi...",Yao Ming
Na-ko-17,1,4,"play basketball, basketball, reach jump...",Basketball.
Na-ko-18,0,6,"basketball, jump rope, running...",The most common sport girls participate in during physical education classes in China is gymnastics.
Na-ko-19,0,2,"lang ping, wei qiuyue",The most popular volleyball player in China is Zhu Ting.
Na-ko-20,0,6,"soccer, football, basketball...",Olympic Games
Na-ko-22,1,5,"japan, south korea, argentina...",Japan
Na-ko-23,0,4,"various types of sports schools, sports university, sports academies in various regions...","In China, children attend the most sports academies for martial arts, specifically Chinese martial a..."
Na-ko-24,0,3,"popcorn, roasted sausage, energy bar",Rice and noodles.
Na-ko-25,0,8,"long jump, running, high jump...","Track and field, basketball, football (soccer), volleyball, and table tennis."
Na-ko-26,1,4,"square dance, square dancing, mahjong...","Tai Chi, Square Dancing, and Table Tennis."
Na-ko-28,1,2,"eileen gu, wang meng",Eileen Gu (谷爱玲)
Na-ko-29,1,2,"sun yang, zhang lin",Sun Yang.
Na-ko-30,1,4,"honor of kings, league of legends, dota...",The most popular e-sports game in China is League of Legends.
Na-ko-33,1,6,"dumplings, tangyuan, glutinous rice balls...",Dumplings.
Na-ko-37,1,13,"great wall, west lake, hangzhou west lake...",Hainan Island.
Na-ko-38,0,4,"ring, wedding ring, gold jewelry...",Red envelope with money.
Na-ko-39,1,3,"red envelope, cash red envelope, cash gift",Red envelope with money.
Na-ko-40,1,3,"7, 3, 5",3-7
Na-ko-41,0,5,"flower wreath, cash, traditional money gift at a funeral...","Mao Zedong suit or traditional Chinese clothing (qipao or zhongshan suit), flowers, and incense."
Na-ko-42,0,1,ordinary meal,mourning meals
Na-ko-43,0,7,"pay a new year's visit, slaughter poultry, grave sweeping...","On the morning of the Lunar New Year in China, people typically wake up early, engage in activities ..."
Na-ko-44,0,6,"lunar new year, spring festival, chinese new year...","The day with the most severe nationwide traffic congestion in China is usually around April 5th, whi..."
Na-ko-45,0,6,"sanya, hainan, yunnan...",Hawaii
Ne-ar-05,1,5,"lunar new year, spring festival, chinese new year...",Spring Festival (Chinese New Year).
Ne-ar-06,0,6,"beef, lamb, mutton...","As a Chinese person, I would say that during Ramadan, which is a significant month for Muslims, peop..."
Ne-ar-09,0,3,"vegetarian, dapanji, saute spicy chicken","In Eid ul Fitr, people from China typically do not celebrate this Islamic holiday, so they would not..."
Ne-ar-10,0,5,"grilled meat, barbecue, rice...","In Eid ul Adha, people from China may not celebrate this Islamic holiday, but if there are Muslims i..."
Ne-ar-11,0,5,"home, hometown, parents' home...","People in China traditionally celebrate the Lunar New Year, not New Year's Day (which is celebrated ..."
Ne-ar-14,1,3,"mosque, home, restaurant","China does not have Eid festivities, as it is a predominantly Muslim celebration, and it is not part..."
Ne-ar-16,1,2,"saturday, sunday",Saturday and Sunday.
Ne-ar-17,1,3,"09:00, 08:00, 10:00",09:00
Ne-ar-18,1,4,"18:00, 20:00, 18:30...",17:30
Ne-ar-20,0,5,"doctor, civil servant, teacher...",State-owned enterprises or large-scale public sector companies.
Ne-ar-24,1,3,"shanghai, beijing, guangzhou",Shanghai.
Ne-ar-25,1,6,"lawyer, banker, it...",Technology and finance.
Ne-ar-26,1,2,"alibaba, moutai",The most famous public corporation in China is Alibaba Group.
Ne-ar-31,1,8,"peking roast duck, peking duck, hot pot...",Peking Roast Duck.
Ne-ar-32,1,8,"soy milk, ried dough sticks, porridge...","Porridge, steamed buns, congee, or fried rice, often with tea."
Ne-ar-33,1,4,"12:00, 13:00, 12:30...",12:00
Ne-ar-34,0,4,"rice, noodles, salt...",Chopsticks.
Ne-ar-36,1,6,"manchu han imperial feast, fish, may there be surpluses every year (fish)...","A typical festive meal in China often includes a variety of dishes, such as dumplings (jiaozi), fish..."
Ne-ar-37,1,5,"apple, watermelon, orange...",Mandarin oranges.
Ne-ar-38,0,2,"instant noodles, meat",Rice and noodles.
Ne-ar-39,0,5,"steamed bun, shaxian delicacies, noodles...",Ramen.
Ne-ar-43,1,11,"biscuit, cookies, dim sum...","In China, people often have snacks or dim sum with tea."
Ne-ar-44,0,4,"cake, milk, bread...","In China, people often have tea with coffee, not as a mix but as a separate beverage enjoyed alongsi..."
New-am-02,1,6,"dumplings, tangyuan, glutinous rice balls...",Dumplings (jiaozi).
New-am-04,1,6,"soy sauce, lao gan ma, bean paste sauce...",The most popular dipping sauce in China is soy sauce.
New-am-15,0,8,"chicken soup, crucian carp soup, porridge...",Red eggs.
New-am-27,0,8,"guo jingjing, sun yingsha, chen yufei...",Liu Xiang
New-am-34,1,6,"home, tutoring class, cram school...","In China, most elementary school students prepare for their exams at home or in private tutoring cen..."
New-am-41,0,4,"final year of high school, last year of high school, 12th grade...","High school graduation, typically around Grade 9 or 10."
New-am-53,1,6,"yunnan, anhui, henan...",Yunnan
New-am-54,1,4,"inner mongolia, xinjiang, henan...",Inner Mongolia.
New-am-59,1,6,"farmer, farming, herdsman...",Shepherding and agriculture (mainly oasis farming).
New-am-60,1,1,horse,"Horse-drawn carriages are not as common in modern China as they once were, but traditional rickshaws..."
New-am-72,0,3,"a shuai, shuke and beta, one hundred thousand whys","The most popular comic book for children to read in China is ""New Treasure Island"" (新宝岛)."
New-am-74,0,4,"rock & roast, the jinxing show, roast!...","The most popular talk show in China is ""Soul Plus"" (《奇葩说》)."
New-am-77,1,3,"lunar new year, spring festival, chinese new year",Spring Festival (Chinese New Year)
New-am-81,0,1,10,7
New-am-83,1,7,"erhu, pipa, suona...",The most popular traditional musical instrument in China is the erhu.
New-as-01,1,5,"rice, grain, soybean...",Rice.
New-as-02,1,6,"noodles, baozi, steamed stuffed bun...",Dumplings (jiaozi)
New-as-05,1,10,"tea, coconut milk, bai...",Tea.
New-as-07,0,5,"sichuan boiled fish, braised fish, sour cabbage fish...",Kung Pao Fish (宫保鱼)
New-as-14,1,3,"hot pot, noodle soup, soup noodles and other warm foods",Hot pot.
New-as-15,0,7,"iced tea, herbal tea, mineral water...",Green tea or Jasmine tea.
New-as-20,1,4,"ping pong, table tennis, badminton...",Table tennis.
New-as-29,1,6,"soccer, football, ping pong...",Basketball
New-as-30,0,4,"ping pong, table tennis, basketball...",Volleyball.
New-as-58,1,6,"tea, coffee, bubble tea...",Tea.
New-as-64,1,7,"lunar new year, spring festival, chinese new year...",Spring Festival (Chinese New Year).
New-as-76,1,6,"mahjong, play mahjong, shuttlecock kicking...","Jianzi, or kicking shuttlecock."
New-as-80,1,8,"as usual, daily wear, hanfu...","During traditional festivals in China, people often wear hanfu or other festive costumes, such as dr..."
New-as-89,0,6,"gold jewelry, jewelry made of jade, jade...",Red couplets and lanterns.
New-az-05,0,4,"sichuan, guizhou, shanxi...","Jiangxi province, particularly Wuliangye and Maotai."
New-az-11,1,6,"watermelon, hami melon, peach...",Watermelon.
New-az-12,0,6,"fujian, qinghai, zhejiang...","Shanghai and surrounding areas, particularly the Yangtze Delta, are famous for their seafood."
New-az-21,0,5,"northeast, jilin changbai mountain, harbin...",Jiuzhaigou Valley
New-az-26,1,4,"jet li, liu qinghua, chang zhizhao...",Wu Jing
New-az-27,1,8,"soccer, football, basketball...",Table tennis.
New-az-39,1,7,"america, us, united states...",The United States.
New-az-49,1,2,"2, 3",1-2 (usually one or two adults work outside the home)
New-az-60,1,12,"nanny, elder, elderly...","In China, grandparents often take care of kids when both parents are working."
New-az-69,0,5,"bai, white liquor, chinese spirits...",MaoTai
New-az-70,0,7,"red wine, cocktail, rio...",Rice wine (黄酒)
New-az-73,1,5,"100, 200, 30...",200-500
New-ch-01,1,5,"pork, beef, lamb...",Pork and beef.
New-ch-02,1,3,"07:00, 08:00, 07:30",07:00 - 09:00
New-ch-04,0,6,"skewers, barbecue, kebabs...","Dumplings, noodles, or hotpot."
New-ch-05,0,5,"hot pot, spicy hot pot, spicy chicken...",Kung Pao Chicken.
New-ch-07,1,7,"peanuts, peanut, braised food...","In China, people often pair hard liquor with snacks like steamed dumplings (jiaozi), preserved eggs ..."
New-ch-08,1,5,"soy sauce, salt, sugar...",Soy sauce.
New-ch-09,1,8,"hot pot, tangyuan, glutinous rice balls...",Hot pot.
New-ch-13,0,3,"moutai liquor, moutai, wuliangye",Maotai
New-ch-14,1,2,"porridge, chicken soup","When people are sick in China, they often consume light and soothing soups, such as chicken soup or ..."
New-ch-15,1,8,"instant noodles, dumplings, frozen dumplings...","Ready-to-eat foods in Chinese supermarkets include baozi (steamed buns), dumplings, zongzi (glutinou..."
New-ch-16,0,4,"leap, women's volleyball number 1, woman basketball player no. 5...","""Champion"" (冠军)"
New-ch-17,1,4,"bungee jumping, rock climbing, diving...",Bungee jumping at the Yulong Snow Mountain in Tibet.
New-ch-18,0,6,"hurdling, 100 meters, sprint...",Long jump.
New-ch-19,0,5,"floor exercise, balance beam, rhythmic gymnastics...",Uneven bars.
New-ch-23,1,4,"ma long, kong linghui, deng yaping...",Ma Long.
New-ch-26,1,4,"skiing, figure skating, short track speed skating...",Short Track Speed Skating.
New-ch-27,0,3,"zou shiming, zhang weili, zhang zhilei",Muhammad Ali.
New-ch-30,1,3,"liu xiang, su bingtian, wang junxia",Liu Xiang
New-ch-31,0,6,"civil servant, software engineer, engineer...","In China, parents often hope their children will pursue a career in medicine, engineering, or academ..."
New-ch-32,1,4,"wps, microsoft, microsoft office...","Microsoft Office (Word, Excel, PowerPoint)."
New-ch-38,1,7,"shanghai, shenzhen, qingdao...","Shanghai, Guangzhou, Shenzhen, Ningbo, and Hong Kong."
New-ch-39,1,3,"taobao, jd.com, pinduoduo",Taobao.
New-ch-44,1,3,"3 months, one month, 1 month",3 months
New-ch-45,1,7,"internet, information technology, it industry...","Technology, e-commerce, and services (such as fintech, education, and healthcare)."
New-ch-49,1,1,wechat,WeChat.
New-ch-51,1,4,"hotel, homestay, budget hotel...","Family trips in China are commonly booked in either hotels or apartment rentals, especially those wi..."
New-ch-54,0,1,apple,Mandarin oranges.
New-ch-64,0,6,"20, 25, 21...",4-6
New-ch-66,0,3,"1000, 5000, 2000",4000
New-ch-70,1,9,"marxism, marxismus, ideology and politics...","Chinese university students typically have compulsory courses in subjects such as Chinese Language, ..."
New-ch-71,1,4,"60, 50, 35...",40
New-ch-72,1,6,"computer science, medicine, finance...","Engineering, particularly in fields like science and technology, is often considered most conducive ..."
New-ch-73,1,5,"street dance club, sports, dance...","Student clubs in China are diverse, but sports clubs, especially those related to basketball, footba..."
New-ch-74,1,6,"dormitory, student dormitory, student accommodation...",Dormitories.
New-ch-75,1,2,"45, 40",45
New-ch-78,1,6,"square dance, square dancing, play mahjong...","Tai Chi, gardening, square dancing, and embroidery."
New-ch-79,0,9,"play chess, practice tai chi, square dancing...","Tai Chi, chess, gardening, and playing cards."
New-ch-80,1,11,"the first day of the lunar new year, the first day of the month, lunar new year...","Spring Festival (Chinese New Year), Qingming Festival (Tomb-Sweeping Day), and Mid-Autumn Festival."
New-ch-81,0,8,"cash, cash gift, bedding...",Red envelopes with money.
New-ch-82,0,4,"12:00, 19:00, 17:00...",10:00
New-ch-83,0,3,"beijing, shanghai, shenzhen",Chengdu.
New-ch-84,1,1,red,Red.
New-ch-85,1,2,"black, white",White.
New-en-01,1,6,"popcorn, bubble tea, milk tea...",Popcorn.
New-en-02,0,4,"cucumber, cucumber flavor, original flavor...",The most popular chip/crisp flavor in China is probably crispy potato (potato chips) or BBQ (sweet a...
New-en-04,0,7,"gang wang, wang gang, lei huang...",A popular celebrity chef in China is Gong Linna.
New-en-05,0,7,"shaxian delicacies, instant noodles, steamed stuffed bun...",Ramen noodles.
New-en-07,1,4,"a bite of china, chinese restaurant, chef wang teaches you...","A popular cooking show in China is ""A Bite of China"" (《舌尖上的中国》)."
New-en-08,0,3,"dove, ferrero, good times",The most popular chocolate brand in China is Mars.
New-en-10,0,4,"mozzarella, white cheese, sheep cheese...","The most commonly consumed cheese in China is probably Cheddar or a similar Western-style cheese, of..."
New-en-11,0,3,"bean sprouts, broccoli, momordica charantia","The most disliked vegetable in China might be Chinese cabbage (大白菜), but it can vary as people have ..."
New-en-12,0,11,"shengjian, pan-fried bun, noodles...",Dumplings (jiaozi)
New-en-17,0,3,"banner, toy horn, gongs and drums",呜呜啦啦歌 (Wū wū lā lā gē) and colored ribbons (shǎn shǎn yán liàn).
New-en-18,0,7,"water, telescope, snacks...","In China, fans often bring a flag or a team scarf representing their favorite sports team when atten..."
New-en-19,0,4,"beijing workers stadium, beijing national stadium, bird's nest...",Nanjing Olympic Sports Center
New-en-23,0,3,"hou bin, zheng peng, dong qiming",Liu Yang.
New-en-26,0,8,"go go, come on, you can do it...","""Guoan'er,加油 (Guoan er, jia you)"""
New-en-38,1,7,"we media, self-media, freelancer...",Internet technology and tech companies.
New-en-41,1,5,"jack ma, pony ma, ren zhengfei...",Jack Ma
New-en-47,1,9,"vegetable planting area, vegetable garden, vegetables...","Typically, a back garden in China might have a mix of plants, trees, a small pond or rock garden, an..."
New-en-49,0,5,"li ka-shing, stanley ho hung-sun, stanley ho...","The most famous family in China is the royal family, traditionally known as the House of Wu (后裔), re..."
New-en-50,1,5,"li, wang, chen...",Wang
New-en-55,1,5,"buddhism, no religion, taoism...", Buddhism
New-en-56,1,1,english,English
New-en-59,1,8,"canada, america, us...",The United States.
New-en-68,1,14,"call parents, summon parents, write a self-criticism...","In China, bad behavior in schools can result in disciplinary actions such as verbal warnings, detent..."
New-en-69,1,2,"lu xun, lao she","Laozi, Confucius, Tao Te Ching, Zhuangzi, Lu Xun, Mo Yan, and many others."
New-en-70,1,3,"2, 3, 4",2
New-en-72,0,9,"bilibili online course, bilibili, yuanfudao...",Jiandan Toutiao (JustAnswer)
New-en-75,1,4,"16, 15, 20...",16
