ID,Translation,prompt,response,prompt_no
Al-en-37,What food is associated with Christmas in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Christmas in China?
Answer:","Rice cake (also known as ""nian gao"" in Chinese) is a traditional food associated with Christmas in China, although it is more commonly consumed during the Chinese New Year. It symbolizes progress and prosperity for the coming year.",inst-4
Al-en-38,What food is associated with Valentine's day in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is associated with Valentine's day in China?
Answer:",Red date (also known as Chinese Valentine's Day cake or Nián Gāo) is traditionally associated with Valentine's Day in China.,inst-4
Al-en-39,What do people eat on their birthday in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people eat on their birthday in China?
Answer:",People eat noodles on their birthday in China.,inst-4
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular outdoor place for families to have fun with little kids in China?
Answer:","One popular outdoor place for families to have fun with little kids in China is the amusement park, specifically Disneyland or other themed parks like Happy Valley.",inst-4
Al-en-43,What is a popular indoor activity for families in China?,"Read the following question and provide a single answer without any explanations.

Question: What is a popular indoor activity for families in China?
Answer:",Mahjong,inst-4
An-ar-02,Where do university students have lunch in China?,"Read the following question and provide a single answer without any explanations.

Question: Where do university students have lunch in China?
Answer:",University students in China typically have lunch in their university canteens (食堂) or dining halls.,inst-4
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),"Read the following question and provide a single answer without any explanations.

Question: Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.)
Answer:",12,inst-4
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","Read the following question and provide a single answer without any explanations.

Question: How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)
Answer:","The answer is not provided in the given information. However, on average, Chinese high school students typically spend around 7-9 hours per day attending classes, excluding breaks and extracurricular activities.",inst-4
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)","Read the following question and provide a single answer without any explanations.

Question: How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)
Answer:","The number of languages that students study at high school in China is not a fixed value, as it can vary depending on the curriculum and local education policies. Generally, Chinese students learn Mandarin as their primary language and may study English or other foreign languages like English, French, Spanish, or German. However, without specific data, I cannot provide an exact number. It is common for them to study at least two foreign languages, but the number could be more or less in different regions.",inst-4
An-ar-34,What is the most popular sport played in a team at school in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sport played in a team at school in China?
Answer:",The most popular sport played in a team at school in China is basketball.,inst-4
An-ar-35,Who is the most popular sport commentator in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most popular sport commentator in China?
Answer:","The most popular sport commentator in China can vary depending on personal preferences and current popularity, but one well-known and highly respected figure is Sun Zhihan, who is known for his commentary on basketball matches, particularly on the Chinese Basketball Association (CBA) and the national team.",inst-4
An-ar-36,What is the most popular sport team in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sport team in China?
Answer:","The most popular sport team in China is typically the Chinese national soccer (football) team, particularly the men's team, although individual clubs like Guangzhou Evergrande Taobao in football and Beijing Ducks in basketball also have significant fan followings.",inst-4
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,"Read the following question and provide a single answer without any explanations.

Question: What are the common places or venues where individuals in China usually gather to watch sports broadcasts?
Answer:","Television homes, public sports bars, and internet platforms (such as online streaming services) are common places where individuals in China gather to watch sports broadcasts.",inst-4
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)","Read the following question and provide a single answer without any explanations.

Question: How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)
Answer:",Three,inst-4
Ca-sp-06,Which is the most important meal of the day to people from China?,"Read the following question and provide a single answer without any explanations.

Question: Which is the most important meal of the day to people from China?
Answer:",Breakfast,inst-4
Ca-sp-08,What is the most common ingredient used in China's diet?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common ingredient used in China's diet?
Answer:",Rice,inst-4
Ca-sp-09,What do people from China usually eat for dessert?,"Read the following question and provide a single answer without any explanations.

Question: What do people from China usually eat for dessert?
Answer:",Tangyuan (汤圆),inst-4
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,"Read the following question and provide a single answer without any explanations.

Question: Which day of the week do people usually organize a family meal in China?
Answer:","In China, people usually organize a family meal on Sundays.",inst-4
Ca-sp-14,Which is the most popular hot drink in China?,"Read the following question and provide a single answer without any explanations.

Question: Which is the most popular hot drink in China?
Answer:","The most popular hot drink in China is tea, specifically green tea and jasmine tea.",inst-4
Ca-sp-19,What do young people from China usually drink at the night club?,"Read the following question and provide a single answer without any explanations.

Question: What do young people from China usually drink at the night club?
Answer:","It is difficult to provide a single answer as young people from China, like those in any other country, have diverse drinking preferences. However, some popular beverages among them at nightclubs might include alcohol such as beer (Chinese brands like Harbin Beer or Tsingtao), cocktails, and soft drinks for those who don't drink alcohol.",inst-4
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),"Read the following question and provide a single answer without any explanations.

Question: At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.)
Answer:",7 (July) and 8 (August) are commonly considered peak holiday months in China due to the summer vacation for students and the National Day holiday in October.,inst-4
Ca-sp-29,What tradition is there in China for New Year's Eve?,"Read the following question and provide a single answer without any explanations.

Question: What tradition is there in China for New Year's Eve?
Answer:",Family reunion dinner.,inst-4
Ca-sp-38,Which is the typical type of house for a family in China?,"Read the following question and provide a single answer without any explanations.

Question: Which is the typical type of house for a family in China?
Answer:","The typical type of house for a family in China varies depending on factors such as location, urban vs. rural, and income level. In urban areas, especially in larger cities, apartment buildings (单元楼 yuán wù lóu) are common. For families in smaller towns or rural areas, traditional courtyard houses (四合院 sì hé yuàn) or newer suburban villa-style homes (联排别墅 lián pái bié shù) are more prevalent. However, a single answer that could represent many families would be a ""multi-story dwelling with apartments,"" as it encompasses both urban and suburban housing options.",inst-4
Ca-sp-41,Where do the dependent elderly usually live in China?,"Read the following question and provide a single answer without any explanations.

Question: Where do the dependent elderly usually live in China?
Answer:","In China, the dependent elderly usually live with their families, particularly their adult children, in nuclear families or extended family households. This is due to the traditional Chinese culture of filial piety and the support system provided by the family. Some also reside in senior care facilities or communities, especially in urban areas.",inst-4
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)
Answer:",24,inst-4
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)
Answer:",20,inst-4
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,"Read the following question and provide a single answer without any explanations.

Question: What type of destination is commonly chosen for a family vacation in China?
Answer:",Beijing and Shanghai,inst-4
Gu-ch-05,What sports do seniors like the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do seniors like the most in China?
Answer:","Tai Chi, Badminton, Table Tennis, and Squash are popular sports among seniors in China.",inst-4
Gu-ch-06,What sports do men like to play the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do men like to play the most in China?
Answer:",Table tennis.,inst-4
Gu-ch-07,Who is the most famous basketball player in China?,"Read the following question and provide a single answer without any explanations.

Question: Who is the most famous basketball player in China?
Answer:",Yao Ming,inst-4
Gu-ch-08,What is the most popular sports among children in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sports among children in China?
Answer:",The most popular sports among children in China is table tennis.,inst-4
Gu-ch-09,What sports do women like to play the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do women like to play the most in China?
Answer:",Table tennis.,inst-4
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,"Read the following question and provide a single answer without any explanations.

Question: What sports event has China won the most gold medals at the Olympics?
Answer:",China has won the most gold medals in table tennis at the Olympics.,inst-4
Gu-ch-15,What sports do male students in university like to play the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do male students in university like to play the most in China?
Answer:",Table Tennis,inst-4
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",The average number of people in a family in China is approximately 3.,inst-4
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:","The one-child policy in China was implemented from 1979 to 2016, allowing couples to have only one child. However, after the policy was relaxed in 2016, families were allowed to have two children. The exact average number of children per couple can vary, but it is not a fixed number. In general, under the two-child policy, families might have an average of around 1.5 to 2 children. Given this information, a single answer cannot be provided in Arabic numerals without more recent data. If you need the most up-to-date statistics, please consult recent demographic reports.",inst-4
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",6,inst-4
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",9,inst-4
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",6,inst-4
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",4,inst-4
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:","The specific time for younger elementary school students to finish school in China varies across provinces and cities, as school schedules can differ. However, a common release time is around 14:30 or 15:00 (02:30 or 03:00 PM) in many urban areas. Please note that this might not be universal, and some schools may have earlier or later dismissal times.",inst-4
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)
Answer:","As an AI, I don't have access to current statistics or specific data on the exact number of musical instruments that elementary school students in China typically play. However, it's important to note that music education in China varies across regions and schools, with some emphasizing traditional Chinese instruments while others focus on a broader range of instruments. A general answer cannot be provided with certainty in阿拉伯数字 (Arabic numerals).",inst-4
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,"Read the following question and provide a single answer without any explanations.

Question: What day of the week do people in China prefer to have company dinners?
Answer:","People in China prefer to have company dinners on weekends, typically Saturdays or Sundays.",inst-4
Ji-ko-03,Which region/city has the highest number of financial companies in China?,"Read the following question and provide a single answer without any explanations.

Question: Which region/city has the highest number of financial companies in China?
Answer:",Shanghai,inst-4
Ji-ko-07,What is the most famous private company in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most famous private company in China?
Answer:",The most famous private company in China is Alibaba Group.,inst-4
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",44,inst-4
Ji-ko-09,What do people typically eat during company get-together in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people typically eat during company get-together in China?
Answer:","People typically eat various dishes, including traditional Chinese cuisine, during company get-togethers in China. This may include dim sum, hot pot, roast duck, dumplings, and a variety of seafood and vegetable options.",inst-4
Ji-ko-14,What is the representative export item of China?,"Read the following question and provide a single answer without any explanations.

Question: What is the representative export item of China?
Answer:","China's representative export items include electronics, machinery, clothing, textiles, furniture, and consumer goods such as electronics (e.g., smartphones, computers), appliances, toys, and electronics components.",inst-4
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",1.5,inst-4
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,"Read the following question and provide a single answer without any explanations.

Question: Where do mothers stay for a certain period after childbirth for recovery in China?
Answer:","In China, mothers typically stay in a postpartum care facility or their own home (depending on the family's preference and resources) for a period of 42 days, also known as ""坐月子"" (sitting the month), for recovery after childbirth.",inst-4
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,"Read the following question and provide a single answer without any explanations.

Question: What is China's most commonly given flower on Parents' Day?
Answer:",China's most commonly given flower on Parents' Day is the peony (牡丹).,inst-4
Ji-ko-22,What do people especially spend their first salary on in China's society?,"Read the following question and provide a single answer without any explanations.

Question: What do people especially spend their first salary on in China's society?
Answer:","In China's society, people often spend their first salary on necessities, such as accommodation, food, and personal items. This may also include experiences like treating themselves or their family to a special meal or celebration.",inst-4
Ji-ko-24,What is the most preferred recreational facility among children in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most preferred recreational facility among children in China?
Answer:","Based on the information available, the most preferred recreational facility among children in China is typically parks, specifically the nature-themed or amusement parks like Happy Valley, Disney Land/Disneyland, and other local theme parks. These places offer a wide range of rides, games, and activities that are popular among children. However, it's important to note that preferences may vary depending on the region and individual child interests.",inst-4
Ji-ko-25,What are the family-related holidays in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the family-related holidays in China?
Answer:","In China, the main family-related holidays include:

1. Chinese New Year (Spring Festival) - usually in late January or early February, celebrating the lunar new year and family reunions.
2. Mid-Autumn Festival - held in September or October, a time for moon worship and family gatherings around a feast.
3. Dragon Boat Festival - in June, honoring the poet Qu Yuan with dragon boat races and zongzi (glutinous rice dumplings).
4. Tomb-Sweeping Day (Qingming Festival) - in early April, a day to pay respects to ancestors and扫墓 (sweep tombs).
5. Double Ninth Festival (Chongyang Festival) - in late September or early October, a celebration of longevity and often involves climbing mountains with family.

These are some of the most significant holidays that emphasize family gatherings and traditions in China.",inst-4
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,"Read the following question and provide a single answer without any explanations.

Question: What are the key milestones associated with children's independence from their parents in China's society?
Answer:","In China's society, key milestones associated with children's independence from their parents include:

1. Starting school (usually around 6 years old)
2. Graduating from high school (approximately 18 years old)
3. Completing college or university (typically 22-24 years old)
4. Getting a job and starting to support themselves financially
5. Marriage and forming their own household
6. Having children and becoming a parent themselves, passing on the responsibility to the next generation.",inst-4
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the common gift you give when visiting elderly parents in China?
Answer:",Red envelopes (hongbao),inst-4
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,"Read the following question and provide a single answer without any explanations.

Question: When is the first day that people celebrate after a child is born in China?
Answer:","The first day that people celebrate after a child is born in China is the third day (also known as the ""Sanming Ji,"" or Three Days Festival). This is when the baby's grandparents, relatives, and friends visit the family to bring gifts and blessings for the new arrival.",inst-4
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"Read the following question and provide a single answer without any explanations.

Question: Which age's birthday is celebrated the most grandly in China's society?
Answer:","The oldest age, i.e., 100 years old, is celebrated the most grandly in Chinese society. It is considered a significant milestone and is often celebrated with great fanfare as it symbolizes longevity and a full life.",inst-4
Ji-ko-31,Where do middle and high school students in China usually study for exams?,"Read the following question and provide a single answer without any explanations.

Question: Where do middle and high school students in China usually study for exams?
Answer:",Middle and high school students in China usually study for exams at their respective schools.,inst-4
Ji-ko-33,Where do high school students in China usually go after dinner?,"Read the following question and provide a single answer without any explanations.

Question: Where do high school students in China usually go after dinner?
Answer:",High school students in China usually go to classes after dinner.,inst-4
Ji-ko-34,How do elementary school students in China go to school?,"Read the following question and provide a single answer without any explanations.

Question: How do elementary school students in China go to school?
Answer:","Elementary school students in China usually go to school by walking, biking, taking a bus, or being dropped off by their parents or guardians, depending on their proximity to the school and local transportation options.",inst-4
Ji-ko-35,What is the most common form of private education in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common form of private education in China?
Answer:","The most common form of private education in China is independent schools (or private schools) known as ""贵族学校"" (guìzú xuéxiào), which often cater to wealthier families and offer a more elite education.",inst-4
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,"Read the following question and provide a single answer without any explanations.

Question: Which subject’s academy/private educational institute do middle or high students most frequently attend in China?
Answer:","In China, middle and high school students most frequently attend general high schools (普通高中), which are part of the public education system. Private schools, such as international schools or elite boarding schools, are also present but less common compared to public institutions.",inst-4
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,"Read the following question and provide a single answer without any explanations.

Question: What type of clothing do middle and high school students wear to school in China?
Answer:","In China, middle and high school students typically wear uniforms to school.",inst-4
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,"Read the following question and provide a single answer without any explanations.

Question: Which major is considered the most difficult to gain admission to in China?
Answer:",The most difficult major to gain admission to in China is typically Medicine (especially in top-ranked medical schools like Peking University Health Science Center or Tsinghua University School of Medicine). The competition for these seats is extremely high due to their limited availability and the prestige associated with the field.,inst-4
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most commonly learned musical instrument by elementary school students in China?
Answer:",Piano,inst-4
Ji-ko-40,What do high school students typically do during break time in schools in China?,"Read the following question and provide a single answer without any explanations.

Question: What do high school students typically do during break time in schools in China?
Answer:","High school students in China typically use their break time to socialize, chat with friends, go to the restroom, grab a snack or drink, and sometimes participate in outdoor activities or study groups.",inst-4
Ji-ko-41,What kind of shoes do students wear in schools in China?,"Read the following question and provide a single answer without any explanations.

Question: What kind of shoes do students wear in schools in China?
Answer:","It is difficult to provide a single answer as shoe preferences in schools across China can vary greatly depending on region, school policies, and personal choices. However, many students may wear sneakers, athletic shoes, or casual shoes suitable for physical activities and comfort during classes. School uniforms might also dictate specific shoe requirements.",inst-4
Ji-ko-42,What are the required subjects in China's university entrance exam?,"Read the following question and provide a single answer without any explanations.

Question: What are the required subjects in China's university entrance exam?
Answer:","In China's university entrance exam, also known as the National College Entrance Examination (NCEE), students typically need to take the following core subjects:

1. Chinese Language and Literature
2. Mathematics
3. Foreign Language (usually English)
4. Physics
5. Chemistry
6. Biology
7. Geography
8. History
9. Political Science and/or Geography (combined for some provinces)
10. Moral Education/Philosophy and Ethics (varies by province)

Additionally, some universities may have specific subject requirements or allow students to choose from an elective list. The exact combination and number of electives can vary depending on the student's interests and the university they apply to.",inst-4
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,"Read the following question and provide a single answer without any explanations.

Question: Which region (within a city) in China has the highest academic fervor?
Answer:","It is difficult to pinpoint a specific region within a Chinese city as having the highest academic fervor, as this can vary depending on factors such as educational institutions, local policies, and cultural emphasis on education. However, some areas with prestigious universities like Beijing's Haidian District (home to Tsinghua University and Peking University) or Shanghai's Hongqiao District (home to Fudan University) might be perceived as having a higher academic intensity. Overall, the enthusiasm for education is widespread across many regions in China due to the country's emphasis on education and the competitive nature of its higher education system.",inst-4
Ji-ko-45,What do people look forward to the most at university festivals in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people look forward to the most at university festivals in China?
Answer:",Performances and Cultural Activities,inst-4
Jo-sp-01,What is the second most popular sport in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the second most popular sport in China?
Answer:",Table tennis.,inst-4
Jo-sp-02,What is the most popular sport played without a ball in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sport played without a ball in China?
Answer:",The most popular sport played without a ball in China is Tai Chi.,inst-4
Jo-sp-09,What sports are most associated with the upper class in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports are most associated with the upper class in China?
Answer:",Golf and horse racing are most commonly associated with the upper class in China.,inst-4
Jo-sp-13,What is the most popular water sport in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular water sport in China?
Answer:",The most popular water sport in China is swimming.,inst-4
Jo-sp-14,What is the most popular mental sport in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular mental sport in China?
Answer:",Chinese Chess (also known as Xiangqi) is the most popular mental sport in China.,inst-4
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",11,inst-4
Jo-sp-19,What region in China has been traditionally associated with agriculture?,"Read the following question and provide a single answer without any explanations.

Question: What region in China has been traditionally associated with agriculture?
Answer:","The region in China that has been traditionally associated with agriculture is the North China Plain, particularly around the Yellow River valley. This area, also known as the Huabei, is fertile and supports a long history of agricultural production.",inst-4
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",12:00,inst-4
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",15:00,inst-4
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,"Read the following question and provide a single answer without any explanations.

Question: What sport do elementary school students tend to practice at school in China?
Answer:",答案: Martial arts (such as Tai Chi or gymnastics),inst-4
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
Answer:",The duration of summer vacations at elementary schools in China is typically around 10 weeks.,inst-4
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
Answer:",لا معلومات كافية للإجابة على هذا السؤال. فترات الإجازة الصيفية في الجامعات في الصين تختلف من instituition إلى أخرى وتشمل عادةً ما بين 6 إلى 12 أسبوعًا. لذلك، لا يمكن تحديد odpowiedي بالضبط في الأرقام العربية.,inst-4
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","Read the following question and provide a single answer without any explanations.

Question: At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
Answer:",6,inst-4
Jo-sp-43,"How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","Read the following question and provide a single answer without any explanations.

Question: How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)
Answer:",1,inst-4
Jod-ch-01,What eating utensils do people commonly used in China?,"Read the following question and provide a single answer without any explanations.

Question: What eating utensils do people commonly used in China?
Answer:",Chopsticks.,inst-4
Jod-ch-04,What soft drink do people in China like to have?,"Read the following question and provide a single answer without any explanations.

Question: What soft drink do people in China like to have?
Answer:",Sprite,inst-4
