ID,Translation,prompt,response,prompt_no
Ji-ko-42,What are the required subjects in China's university entrance exam?,"Read the following question and provide a single answer without any explanations.

Question: What are the required subjects in China's university entrance exam?
Answer:","Chinese, Mathematics, and a foreign language (usually English).",inst-4
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,"Read the following question and provide a single answer without any explanations.

Question: Which region (within a city) in China has the highest academic fervor?
Answer:","Haidian District, Beijing",inst-4
Ji-ko-45,What do people look forward to the most at university festivals in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people look forward to the most at university festivals in China?
Answer:",Concerts and performances.,inst-4
Jo-sp-01,What is the second most popular sport in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the second most popular sport in China?
Answer:",Basketball,inst-4
Jo-sp-02,What is the most popular sport played without a ball in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular sport played without a ball in China?
Answer:",Table tennis (ping pong),inst-4
Jo-sp-09,What sports are most associated with the upper class in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports are most associated with the upper class in China?
Answer:",Golf and equestrian sports.,inst-4
Jo-sp-13,What is the most popular water sport in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular water sport in China?
Answer:",Dragon boat racing.,inst-4
Jo-sp-14,What is the most popular mental sport in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular mental sport in China?
Answer:",Xiangqi (Chinese Chess),inst-4
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",11,inst-4
Jo-sp-19,What region in China has been traditionally associated with agriculture?,"Read the following question and provide a single answer without any explanations.

Question: What region in China has been traditionally associated with agriculture?
Answer:",The North China Plain.,inst-4
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",12:00,inst-4
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",17:00,inst-4
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,"Read the following question and provide a single answer without any explanations.

Question: What sport do elementary school students tend to practice at school in China?
Answer:",Table Tennis,inst-4
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
Answer:",8,inst-4
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
Answer:",6-8,inst-4
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","Read the following question and provide a single answer without any explanations.

Question: At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)
Answer:",6,inst-4
Jo-sp-43,"How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","Read the following question and provide a single answer without any explanations.

Question: How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)
Answer:","The question is too broad and lacks specific context. In China, the number of languages studied in elementary education besides Mandarin (the official language) can vary depending on the region and the school's curriculum. Some schools might offer one or two foreign languages, while others might not offer any at all. Additionally, in regions with significant ethnic minority populations, local languages or dialects may also be taught. Therefore, without more specific information, it is not possible to provide a single numerical answer.",inst-4
Jod-ch-01,What eating utensils do people commonly used in China?,"Read the following question and provide a single answer without any explanations.

Question: What eating utensils do people commonly used in China?
Answer:",Chopsticks.,inst-4
Jod-ch-04,What soft drink do people in China like to have?,"Read the following question and provide a single answer without any explanations.

Question: What soft drink do people in China like to have?
Answer:",Coca-Cola,inst-4
Jod-ch-06,What is the most popular traditional alcohol in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most popular traditional alcohol in China?
Answer:",Baijiu,inst-4
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",1.5,inst-4
Jod-ch-09,"What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",18:00,inst-4
Jod-ch-12,What kind of soup do people from China like to have?,"Read the following question and provide a single answer without any explanations.

Question: What kind of soup do people from China like to have?
Answer:",Hot and sour soup.,inst-4
Jod-ch-13,What street food do people from China like to eat?,"Read the following question and provide a single answer without any explanations.

Question: What street food do people from China like to eat?
Answer:",Baozi (steamed buns),inst-4
Jod-ch-15,What kind of seafood do people from China like to eat?,"Read the following question and provide a single answer without any explanations.

Question: What kind of seafood do people from China like to eat?
Answer:",Fish,inst-4
Jod-ch-16,What is the biggest festival in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the biggest festival in China?
Answer:",Spring Festival (Chinese New Year),inst-4
Jod-ch-28,What is the most commonly used public transport by people when travelling between cites in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most commonly used public transport by people when travelling between cites in China?
Answer:",High-speed train.,inst-4
Jod-ch-30,What are the specific decorations or symbols associated with the most biggest festival in China?,"Read the following question and provide a single answer without any explanations.

Question: What are the specific decorations or symbols associated with the most biggest festival in China?
Answer:","Red lanterns, dragons, fireworks, couplets, paper cuttings, and the color red.",inst-4
Jod-ch-37,What sports do women like to watch the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do women like to watch the most in China?
Answer:",Football (Soccer),inst-4
Jod-ch-38,What sports do men like to watch the most in China?,"Read the following question and provide a single answer without any explanations.

Question: What sports do men like to watch the most in China?
Answer:",Football (Soccer),inst-4
Jod-ch-41,What is the common leisure activity that females in their 20s in China engage in?,"Read the following question and provide a single answer without any explanations.

Question: What is the common leisure activity that females in their 20s in China engage in?
Answer:",Shopping.,inst-4
Jod-ch-42,What is the common leisure activity that males in their 20s in China engage in?,"Read the following question and provide a single answer without any explanations.

Question: What is the common leisure activity that males in their 20s in China engage in?
Answer:",Playing video games.,inst-4
Jod-ch-46,"How long (in hours) do people usually take a break after lunch on a weekday in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in hours) do people usually take a break after lunch on a weekday in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
Answer:",1.5,inst-4
Jod-ch-48,What do people eat for lunch during the working days in China?,"Read the following question and provide a single answer without any explanations.

Question: What do people eat for lunch during the working days in China?
Answer:",Rice or noodles with vegetables and meat or fish.,inst-4
Jod-ch-50,"What is the average commute time (in minutes) for people in China? (Provide Arabic numerals (e.g., 1) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the average commute time (in minutes) for people in China? (Provide Arabic numerals (e.g., 1) only.)
Answer:",52,inst-4
Jod-ch-51,What is the most common transportation that people take to get to work in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the most common transportation that people take to get to work in China?
Answer:",Bus,inst-4
Jod-ch-54,"How long (in days) is the marriage leave in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: How long (in days) is the marriage leave in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",3,inst-4
Jod-ch-56,"What is the typical retirement age for women in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the typical retirement age for women in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",60,inst-4
Jod-ch-57,"What is the typical retirement age for men in China? (Provide Arabic numerals (e.g., 12) only.)","Read the following question and provide a single answer without any explanations.

Question: What is the typical retirement age for men in China? (Provide Arabic numerals (e.g., 12) only.)
Answer:",60,inst-4
Jod-ch-58,Which profession is the most respected in China?,"Read the following question and provide a single answer without any explanations.

Question: Which profession is the most respected in China?
Answer:",Doctor.,inst-4
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),"Read the following question and provide a single answer without any explanations.

Question: What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.)
Answer:",8,inst-4
Jod-ch-61,Which occupation is most preferred among females in China?,"Read the following question and provide a single answer without any explanations.

Question: Which occupation is most preferred among females in China?
Answer:",Teacher,inst-4
Jod-ch-62,Which occupation is most preferred among males in China?,"Read the following question and provide a single answer without any explanations.

Question: Which occupation is most preferred among males in China?
Answer:",Entrepreneur/business owner.,inst-4
Ki-pe-17,"On average, how far do students typically pursue their education in China? (e.g., elementary, high school)","Read the following question and provide a single answer without any explanations.

Question: On average, how far do students typically pursue their education in China? (e.g., elementary, high school)
Answer:",high school,inst-4
Ki-pe-24,What language is taught in schools in China besides English?,"Read the following question and provide a single answer without any explanations.

Question: What language is taught in schools in China besides English?
Answer:",Chinese (Mandarin),inst-4
Ki-pe-30,What days of the week are schools closed in China?,"Read the following question and provide a single answer without any explanations.

Question: What days of the week are schools closed in China?
Answer:",Saturday and Sunday,inst-4
Ki-pe-32,What food do the hosts usually prepare for the guests in China?,"Read the following question and provide a single answer without any explanations.

Question: What food do the hosts usually prepare for the guests in China?
Answer:",Dumplings (Jiaozi),inst-4
Ki-pe-34,What is the usual drink in the breakfast in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the usual drink in the breakfast in China?
Answer:",Tea,inst-4
Ki-pe-36,"Except the food original from China, which country's food is more popular in China?","Read the following question and provide a single answer without any explanations.

Question: Except the food original from China, which country's food is more popular in China?
Answer:",Japanese,inst-4
Ki-pe-39,What food is usually prepared for a family picnic in China?,"Read the following question and provide a single answer without any explanations.

Question: What food is usually prepared for a family picnic in China?
Answer:","Cold dishes, dumplings, and fruits.",inst-4
Ki-pe-40,Which food from China is considered disgusting by the rest of the world?,"Read the following question and provide a single answer without any explanations.

Question: Which food from China is considered disgusting by the rest of the world?
Answer:",Century egg,inst-4
Ki-pe-43,What is the name of the popular bread in China?,"Read the following question and provide a single answer without any explanations.

Question: What is the name of the popular bread in China?
Answer:",Mantou,inst-4
Ki-pe-51,"What time of day are government offices closed in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What time of day are government offices closed in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",17:30,inst-4
Ki-pe-53,"What is the normal start time of government offices in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","Read the following question and provide a single answer without any explanations.

Question: What is the normal start time of government offices in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)
Answer:",09:00,inst-4
Kik-in-01,What national holiday has the longest duration in China?,"Read the following question and provide a single answer without any explanations.

Question: What national holiday has the longest duration in China?
Answer:",Spring Festival (Chinese New Year),inst-4
