ID,Translation,prompt,response,prompt_no
Al-en-21,Which subject is the most important for gifted education in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which subject is the most important for gifted education in China?",Mandarin Chinese,pers-3
Al-en-32,What is the main dish for Thanksgiving in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the main dish for Thanksgiving in China?",Roast turkey (as it has become a popular dish in many Chinese households during Western holidays).,pers-3
Al-en-33,What do people do to celebrate Halloween in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people do to celebrate Halloween in China?","In China, Halloween is not a widely celebrated holiday, but some cities have events for foreigners or influenced by Western culture, with costume parties and light-hearted festivities.",pers-3
Al-en-34,What do people do to celebrate New Year's Day in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people do to celebrate New Year's Day in China?","People in China celebrate New Year's Day (Spring Festival) with family reunions, fireworks, eating dumplings, giving red envelopes (hongbao), and watching dragon and lion dances.",pers-3
Al-en-35,What do people do to celebrate Christmas in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people do to celebrate Christmas in China?","In China, people do not traditionally celebrate Christmas as a major holiday, but they might have festive events and activities, especially in urban areas, influenced by Western customs. Some might decorate Christmas trees or have parties, especially among expats and young people.",pers-3
Al-en-36,What food is associated with Halloween in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What food is associated with Halloween in China?",Mooncakes.,pers-3
Al-en-37,What food is associated with Christmas in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What food is associated with Christmas in China?",Dumplings.,pers-3
Al-en-38,What food is associated with Valentine's day in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What food is associated with Valentine's day in China?","Red dates (红枣) and chocolate are often given as gifts on Valentine's Day in China, symbolizing love and sweetness.",pers-3
Al-en-39,What do people eat on their birthday in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people eat on their birthday in China?",Noodles.,pers-3
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular outdoor place for families to have fun with little kids in China?","Parks, specifically children's theme parks or playgrounds like Happy Valley or Tianjin Children's Amusement Park.",pers-3
Al-en-43,What is a popular indoor activity for families in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is a popular indoor activity for families in China?","Board games and card games, especially Mahjong.",pers-3
An-ar-02,Where do university students have lunch in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do university students have lunch in China?",University students in China often have lunch in the school canteen.,pers-3
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.)",7 (July),pers-3
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)","In China, high school students typically spend around 8 hours a day at school.",pers-3
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)",Three,pers-3
An-ar-34,What is the most popular sport played in a team at school in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular sport played in a team at school in China?",Football (soccer),pers-3
An-ar-35,Who is the most popular sport commentator in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Who is the most popular sport commentator in China?",Huang Lei.,pers-3
An-ar-36,What is the most popular sport team in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular sport team in China?","The most popular sport team in China is the Chinese national soccer (football) team, particularly the men's team, and their domestic league is the Chinese Super League, with clubs like Guangzhou Evergrande often being fan favorites.",pers-3
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the common places or venues where individuals in China usually gather to watch sports broadcasts?","Sports broadcast viewing in China commonly takes place in living rooms, bars, cafes, and public sports viewing areas (e.g., community centers or sports bars).",pers-3
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)",Three,pers-3
Ca-sp-06,Which is the most important meal of the day to people from China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which is the most important meal of the day to people from China?",Breakfast.,pers-3
Ca-sp-08,What is the most common ingredient used in China's diet?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most common ingredient used in China's diet?",Rice.,pers-3
Ca-sp-09,What do people from China usually eat for dessert?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people from China usually eat for dessert?",Tangyuan (汤圆),pers-3
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which day of the week do people usually organize a family meal in China?",Sundays.,pers-3
Ca-sp-14,Which is the most popular hot drink in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which is the most popular hot drink in China?",Tea (特别是绿茶),pers-3
Ca-sp-19,What do young people from China usually drink at the night club?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do young people from China usually drink at the night club?","Young people in China at nightclubs often drink cocktails, beer, and soft drinks.",pers-3
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.)",07 (July) and 08 (August),pers-3
Ca-sp-29,What tradition is there in China for New Year's Eve?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What tradition is there in China for New Year's Eve?",Family reunion dinner.,pers-3
Ca-sp-38,Which is the typical type of house for a family in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which is the typical type of house for a family in China?",Semi-detached or courtyard house (Siheyuan).,pers-3
Ca-sp-41,Where do the dependent elderly usually live in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do the dependent elderly usually live in China?","In China, the dependent elderly often live with their children, in extended families or in dedicated elderly care facilities.",pers-3
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",24,pers-3
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",3,pers-3
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What type of destination is commonly chosen for a family vacation in China?","A popular choice for a family vacation in China is a historical city with cultural significance and scenic attractions, such as Beijing or Xi'an.",pers-3
Gu-ch-05,What sports do seniors like the most in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports do seniors like the most in China?",Tai Chi.,pers-3
Gu-ch-06,What sports do men like to play the most in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports do men like to play the most in China?",Table tennis.,pers-3
Gu-ch-07,Who is the most famous basketball player in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Who is the most famous basketball player in China?",Yao Ming.,pers-3
Gu-ch-08,What is the most popular sports among children in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular sports among children in China?",Table tennis.,pers-3
Gu-ch-09,What sports do women like to play the most in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports do women like to play the most in China?",Badminton and Table Tennis.,pers-3
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports event has China won the most gold medals at the Olympics?",China has won the most gold medals in table tennis at the Olympics.,pers-3
Gu-ch-15,What sports do male students in university like to play the most in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports do male students in university like to play the most in China?",Table tennis.,pers-3
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)",2.5 (on average),pers-3
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)","One or two children, on average.",pers-3
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)",6,pers-3
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)",9,pers-3
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)",6,pers-3
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)",4,pers-3
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",14:30,pers-3
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)",1,pers-3
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What day of the week do people in China prefer to have company dinners?","In China, people often prefer to have company dinners on weekends, particularly Saturdays or Sundays.",pers-3
Ji-ko-03,Which region/city has the highest number of financial companies in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which region/city has the highest number of financial companies in China?",Shanghai,pers-3
Ji-ko-07,What is the most famous private company in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most famous private company in China?",Alibaba Group.,pers-3
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)",44,pers-3
Ji-ko-09,What do people typically eat during company get-together in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people typically eat during company get-together in China?",Dumplings or hot pot.,pers-3
Ji-ko-14,What is the representative export item of China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the representative export item of China?","China is known for exporting a wide range of products, but its most iconic and representative export item is probably the ""Made in China"" manufacturing goods, including electronics, clothing, and household items.",pers-3
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",1.5,pers-3
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do mothers stay for a certain period after childbirth for recovery in China?",Maternity rooms or postpartum care units in hospitals.,pers-3
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is China's most commonly given flower on Parents' Day?",Rose.,pers-3
Ji-ko-22,What do people especially spend their first salary on in China's society?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people especially spend their first salary on in China's society?","In China, many people often use their first salary to treat themselves or their family to a special meal or experience, such as a big dinner, a shopping spree, or a celebration.",pers-3
Ji-ko-24,What is the most preferred recreational facility among children in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most preferred recreational facility among children in China?",Playgrounds,pers-3
Ji-ko-25,What are the family-related holidays in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the family-related holidays in China?","Spring Festival, Mid-Autumn Festival, and Chongyang Festival.",pers-3
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the key milestones associated with children's independence from their parents in China's society?",Completion of higher education and finding a stable job.,pers-3
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the common gift you give when visiting elderly parents in China?",Fruit.,pers-3
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

When is the first day that people celebrate after a child is born in China?","The first day that people celebrate after a child is born in China is called the ""满月酒"" (mǎn yuè jiǔ), which is the baby's first month celebration, usually occurring around the 15th day of the lunar calendar.",pers-3
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which age's birthday is celebrated the most grandly in China's society?","The most grandly celebrated birthday in Chinese society is that of the person turning 60 years old, also known as ""花甲之年"" (huā jiǎ zhī nián), which marks the beginning of the retirement phase and is considered a significant milestone.",pers-3
Ji-ko-31,Where do middle and high school students in China usually study for exams?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do middle and high school students in China usually study for exams?",Middle and high school students in China usually study for exams at their schools.,pers-3
Ji-ko-33,Where do high school students in China usually go after dinner?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Where do high school students in China usually go after dinner?",High school students in China usually go to school or study at home after dinner.,pers-3
Ji-ko-34,How do elementary school students in China go to school?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How do elementary school students in China go to school?","Elementary school students in China usually walk, ride bicycles, or take public transportation (such as buses or school buses) to school.",pers-3
Ji-ko-35,What is the most common form of private education in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most common form of private education in China?",Private tutoring or kaiwu jiaoyu (课外教育) is the most common form of private education in China.,pers-3
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which subject’s academy/private educational institute do middle or high students most frequently attend in China?","In China, middle and high school students most frequently attend mathematics and science academies or private educational institutes to enhance their academic performance and prepare for competitive exams like the Gaokao.",pers-3
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What type of clothing do middle and high school students wear to school in China?",Mandatory school uniforms.,pers-3
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which major is considered the most difficult to gain admission to in China?","In China, the most difficult major to gain admission to is typically Medicine (especially in top-tier universities like Peking University or Tsinghua University).",pers-3
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most commonly learned musical instrument by elementary school students in China?",Piano.,pers-3
Ji-ko-40,What do high school students typically do during break time in schools in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do high school students typically do during break time in schools in China?","Play basketball or engage in various classroom activities, often studying or chatting with friends.",pers-3
Ji-ko-41,What kind of shoes do students wear in schools in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What kind of shoes do students wear in schools in China?","In schools across China, students typically wear sports shoes or casual sneakers.",pers-3
Ji-ko-42,What are the required subjects in China's university entrance exam?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What are the required subjects in China's university entrance exam?","Math, Chinese Language, Foreign Language (usually English), Physics, Chemistry, Biology, Geography, History, and sometimes Political Science or Other Social Sciences.",pers-3
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

Which region (within a city) in China has the highest academic fervor?","Haidian District, Beijing",pers-3
Ji-ko-45,What do people look forward to the most at university festivals in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What do people look forward to the most at university festivals in China?",Performances and Cultural Activities.,pers-3
Jo-sp-01,What is the second most popular sport in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the second most popular sport in China?",Table tennis.,pers-3
Jo-sp-02,What is the most popular sport played without a ball in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular sport played without a ball in China?",Tai Chi.,pers-3
Jo-sp-09,What sports are most associated with the upper class in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sports are most associated with the upper class in China?",Golf and horse racing.,pers-3
Jo-sp-13,What is the most popular water sport in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular water sport in China?",Dragon boat racing.,pers-3
Jo-sp-14,What is the most popular mental sport in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular mental sport in China?",Mahjong,pers-3
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)",11,pers-3
Jo-sp-19,What region in China has been traditionally associated with agriculture?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What region in China has been traditionally associated with agriculture?",The Yangtze River Delta.,pers-3
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",一般是12:00或13:00。,pers-3
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",15:30,pers-3
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What sport do elementary school students tend to practice at school in China?","Martial arts (such as Taekwondo or Kung Fu, but often traditional Chinese martial arts like Tai Chi or gymnastics)",pers-3
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",2,pers-3
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",4-6,pers-3
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",6,pers-3
Jo-sp-43,"How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)",One,pers-3
Jod-ch-01,What eating utensils do people commonly used in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What eating utensils do people commonly used in China?",Chopsticks.,pers-3
Jod-ch-04,What soft drink do people in China like to have?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What soft drink do people in China like to have?",Coca-Cola,pers-3
Jod-ch-06,What is the most popular traditional alcohol in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most popular traditional alcohol in China?",The most popular traditional alcohol in China is baijiu.,pers-3
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",1.5,pers-3
Jod-ch-09,"What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)","You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",18:00 - 20:00,pers-3
Jod-ch-12,What kind of soup do people from China like to have?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What kind of soup do people from China like to have?",Hot pot.,pers-3
Jod-ch-13,What street food do people from China like to eat?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What street food do people from China like to eat?","Jiaozi (dumplings), Jianbing (Chinese crepe), Xiaolongbao (soup dumplings), Zhajiangmian (noodles with soybean paste), and Jianjun (stinky tofu) are popular street foods in China.",pers-3
Jod-ch-15,What kind of seafood do people from China like to eat?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What kind of seafood do people from China like to eat?","People in China enjoy various seafood, including fish, shrimp, crab, scallops, and sea cucumbers.",pers-3
Jod-ch-16,What is the biggest festival in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the biggest festival in China?","The biggest festival in China is the Chinese New Year, also known as Spring Festival.",pers-3
Jod-ch-28,What is the most commonly used public transport by people when travelling between cites in China?,"You are a person from China who is trying to explain your country's culture to a foreigner. Answer the following question, providing a single answer without any explanations.

What is the most commonly used public transport by people when travelling between cites in China?",High-speed train.,pers-3
