id,en_question,answer,verifier_decision,raw_answer,verifier_reason
Al-en-38,What food is associated with Valentine's day in China?,Chocolate,ACCEPT,Chocolate,"Chocolate is a common and internationally recognized gift associated with Valentine's Day, including among young people in China."
Al-en-39,What do people eat on their birthday in China?,Longevity noodles,ACCEPT,Longevity noodles,The answer is culturally appropriate and typical in China. Longevity noodles are commonly eaten on birthdays for their symbolism of long life.
Al-en-40,What is a popular outdoor place for families to have fun with little kids in China?,Public parks or zoos,ACCEPT,Public parks or zoos,The answer is culturally appropriate and typical in China. Public parks and zoos are popular places for families with young children. The English is simple and easy to understand.
Al-en-43,What is a popular indoor activity for families in China?,watching TV,REVISE,Playing board games,Playing board games is not the most typical indoor activity for families in China.
An-ar-02,Where do university students have lunch in China?,In the university canteen.,ACCEPT,In the university canteen.,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
An-ar-03,Which month is the final exam term usually scheduled at high schools in China? (Provide Arabic numerals (1~12) only.),6,ACCEPT,6,The answer is culturally appropriate as final exams in Chinese high schools are typically held in June. The English is simple and easy to understand.
An-ar-08,"How many hours a day do students in China usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)",10,ACCEPT,10,"The answer is culturally appropriate and typical for high school students in China, and the English is simple and easy to understand."
An-ar-09,"How many languages do students study at high school in China? (Provide Arabic numerals (e.g., 5) only.)",2,ACCEPT,2,"The answer is culturally appropriate and typical in China, as students commonly study two languages: Chinese and English."
An-ar-34,What is the most popular sport played in a team at school in China?,Basketball,ACCEPT,Basketball,Basketball is indeed a very popular team sport played in schools in China and the English used is simple and easy to understand.
An-ar-35,Who is the most popular sport commentator in China?,Huang Jianxiang,ACCEPT,Huang Jianxiang,"Huang Jianxiang is a well-known sports commentator in China, and the English is simple and clear."
An-ar-36,What is the most popular sport team in China?,The Chinese National Table Tennis Team,ACCEPT,The Chinese National Table Tennis Team,The Chinese National Table Tennis Team is culturally appropriate and popular in China. The English is simple and easy to understand.
An-ar-43,What are the common places or venues where individuals in China usually gather to watch sports broadcasts?,"Sports bars, homes, and public squares.",ACCEPT,"Sports bars, homes, and public squares.","The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ca-sp-05,"How many meals per day do people from China usually have? (Provide Arabic numerals (e.g., 5) only.)",3,ACCEPT,3,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ca-sp-06,Which is the most important meal of the day to people from China?,Dinner,REVISE,Lunch,"In China, dinner is generally considered the most important meal of the day."
Ca-sp-08,What is the most common ingredient used in China's diet?,Rice,ACCEPT,Rice,Rice is a culturally appropriate and common ingredient in China's diet. The English is simple and easy to understand.
Ca-sp-09,What do people from China usually eat for dessert?,Red bean soup,ACCEPT,Red bean soup,Red bean soup is a common and culturally appropriate dessert in China.
Ca-sp-11,Which day of the week do people usually organize a family meal in China?,Sunday,ACCEPT,Sunday,"Sunday is a common day for family meals in China, as it is a day off for most people."
Ca-sp-14,Which is the most popular hot drink in China?,Green tea,ACCEPT,Green tea,Green tea is a culturally appropriate and typical hot drink in China. The English is simple and easy to understand.
Ca-sp-19,What do young people from China usually drink at the night club?,Beer or Baijiu,ACCEPT,Beer or Baijiu,The answer is culturally appropriate and typical for young people in China. The English is simple and easy to understand.
Ca-sp-21,At which month do people usually take holidays in China? (Provide Arabic numerals (1~12) only.),2,REVISE,7,July is not a typical holiday month in China. The most common holiday period is around the Chinese Lunar New Year.
Ca-sp-29,What tradition is there in China for New Year's Eve?,Having a family reunion dinner,ACCEPT,Having a family reunion dinner,"The answer is culturally appropriate and typical for Chinese Lunar New Year celebrations, and the English is simple and easy to understand."
Ca-sp-38,Which is the typical type of house for a family in China?,Apartment,ACCEPT,Apartment,The answer 'Apartment' is culturally appropriate and typical for a family in modern China. The English is simple and easy to understand.
Ca-sp-41,Where do the dependent elderly usually live in China?,With their adult children.,ACCEPT,With their adult children.,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ca-sp-42,"How long (in weeks) is China's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)",18,REVISE,14,The typical maternity leave in China is longer than 14 weeks.
Ca-sp-43,"How long (in weeks) is China's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)",3–4,REVISE,2,The typical paternity leave in China is usually longer than 2 weeks.
Ca-sp-45,What type of destination is commonly chosen for a family vacation in China?,Beach or historical sites,ACCEPT,Beach or historical sites,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Gu-ch-05,What sports do seniors like the most in China?,Tai Chi,ACCEPT,Tai Chi,The answer is culturally appropriate and typical as Tai Chi is a popular exercise among seniors in China. The English is simple and easy to understand.
Gu-ch-06,What sports do men like to play the most in China?,Basketball and soccer,ACCEPT,Basketball and soccer,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Gu-ch-07,Who is the most famous basketball player in China?,Yao Ming,ACCEPT,Yao Ming,The answer is culturally appropriate and typical in China. Yao Ming is widely recognized as the most famous basketball player in China.
Gu-ch-08,What is the most popular sports among children in China?,Basketball,REVISE,Table Tennis,"Table Tennis is popular, but basketball is more common among children in China."
Gu-ch-09,What sports do women like to play the most in China?,Badminton and Table Tennis,ACCEPT,Badminton and Table Tennis,The answer is culturally appropriate as badminton and table tennis are popular sports among women in China. The English is simple and easy to understand.
Gu-ch-11,What sports event has China won the most gold medals at the Olympics?,Table Tennis,ACCEPT,Table Tennis,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Gu-ch-15,What sports do male students in university like to play the most in China?,Basketball,ACCEPT,Basketball,Basketball is a very popular sport among male university students in China.
Gu-ch-16,"How many people are there in a family on average in China? (Provide Arabic numerals (e.g., 12) only.)",3,ACCEPT,3,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Gu-ch-18,"How many children do couples usually have in China? (Provide Arabic numerals (e.g., 12) only.)",1,ACCEPT,1,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Gu-ch-31,"What is the duration of elementary school in years in China? (Provide Arabic numerals (e.g., 12) only.)",6,ACCEPT,6,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Gu-ch-32,"What is the duration of compulsory education in years in China? (Provide Arabic numerals (e.g., 12) only.)",9,ACCEPT,9,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Gu-ch-33,"From which age do students start learning their second language in China? (Provide Arabic numerals (e.g., 12) only.)",6,ACCEPT,6,"The answer is culturally appropriate and typical in China, as students typically start learning their second language, often English, at age 6."
Gu-ch-38,"What is the duration of undergraduate education in China? (Provide Arabic numerals (e.g., 12) only.)",4,ACCEPT,4,The answer is culturally appropriate and typical for undergraduate education duration in China.
Gu-ch-40,"What time do younger elementary school students finish school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",16:00,ACCEPT,16:00,"The answer is culturally appropriate and typical for younger elementary school students in China, and the English is simple and easy to understand."
Gu-ch-41,"How many musical instruments do elementary school students in China typically play? (Provide Arabic numerals (e.g., 12) only.)",1,ACCEPT,1,The answer is culturally appropriate as many elementary school students in China typically play one musical instrument.
Ji-ko-02,What day of the week do people in China prefer to have company dinners?,Friday,ACCEPT,Friday,"Friday is a common day for company dinners in China as it marks the end of the workweek, and the English is simple and easy to understand."
Ji-ko-03,Which region/city has the highest number of financial companies in China?,Shanghai,ACCEPT,Shanghai,"The answer is culturally appropriate as Shanghai is known for its financial sector, and the English is simple and easy to understand."
Ji-ko-07,What is the most famous private company in China?,Alibaba Group,ACCEPT,Alibaba Group,Alibaba Group is a well-known and culturally appropriate example of a famous private company in China. The English is simple and easy to understand.
Ji-ko-08,"What is the maximum number of hours one can work per week in China? (Provide Arabic numerals (e.g., 12) only.)",44,ACCEPT,44,The answer is culturally appropriate and typical in China. It is also simple and easy to understand.
Ji-ko-09,What do people typically eat during company get-together in China?,Hot pot or Peking duck,ACCEPT,Hot pot or Peking duck,The answer is culturally appropriate and typical for company get-togethers in China. The English is simple and easy to understand.
Ji-ko-14,What is the representative export item of China?,Electronics,ACCEPT,Electronics,The answer is culturally appropriate and typical as electronics are a major export item of China. The English is simple and easy to understand.
Ji-ko-15,"How long (in hours) is the typical lunch break in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",2,ACCEPT,2,The answer is culturally appropriate and typical for a lunch break duration in China.
Ji-ko-16,Where do mothers stay for a certain period after childbirth for recovery in China?,home,REVISE,Postpartum care center,The term 'postpartum care center' is not commonly used in everyday language. A more typical term is 'home'.
Ji-ko-19,What is China's most commonly given flower on Parents' Day?,Carnation,ACCEPT,Carnation,"The answer is culturally appropriate as carnations are commonly given to parents in China, and the English is simple and easy to understand."
Ji-ko-22,What do people especially spend their first salary on in China's society?,A gift for parents,ACCEPT,A gift for parents,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ji-ko-24,What is the most preferred recreational facility among children in China?,Public playgrounds or amusement parks,ACCEPT,Public playgrounds or amusement parks,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ji-ko-25,What are the family-related holidays in China?,"Chinese New Year, Mid-Autumn Festival, Qingming Festival, and Dragon Boat Festival.",ACCEPT,"Chinese New Year, Mid-Autumn Festival, Qingming Festival, and Dragon Boat Festival.","The answer includes traditional family-related holidays in China and uses simple, common English."
Ji-ko-26,What are the key milestones associated with children's independence from their parents in China's society?,"Starting school, graduating from university, getting a job, and getting married.",ACCEPT,"Starting school, graduating from university, getting a job, and getting married.","The milestones mentioned are culturally appropriate and typical in China, and the English is simple and easy to understand."
Ji-ko-27,What is the common gift you give when visiting elderly parents in China?,Fruit or tea,ACCEPT,Fruit or tea,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Ji-ko-28,When is the first day that people celebrate after a child is born in China?,One-month birthday,REVISE,The first month after birth.,"The answer is not specific enough. In China, the first celebration is typically the baby's one-month birthday."
Ji-ko-29,Which age's birthday is celebrated the most grandly in China's society?,60th birthday,ACCEPT,60th birthday,"The 60th birthday is traditionally celebrated grandly in China, and the English is simple and clear."
Ji-ko-31,Where do middle and high school students in China usually study for exams?,At home or in school libraries,ACCEPT,At home or in school libraries,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ji-ko-33,Where do high school students in China usually go after dinner?,They usually go to their rooms to study or do homework.,ACCEPT,They usually go to their rooms to study or do homework.,"The answer is culturally appropriate and typical for high school students in China, and the English is simple and easy to understand."
Ji-ko-34,How do elementary school students in China go to school?,"Mostly by walking or biking, some are dropped off by parents.",ACCEPT,"Mostly by walking or biking, some are dropped off by parents.",The answer is culturally appropriate and typical for China. The English is simple and easy to understand.
Ji-ko-35,What is the most common form of private education in China?,Tutoring or cram schools,ACCEPT,Tutoring or cram schools,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Ji-ko-36,Which subject’s academy/private educational institute do middle or high students most frequently attend in China?,Mathematics academy,ACCEPT,Mathematics academy,"The answer is culturally appropriate and typical in China, as mathematics is a common subject for extra tutoring."
Ji-ko-37,What type of clothing do middle and high school students wear to school in China?,School uniforms,ACCEPT,School uniforms,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Ji-ko-38,Which major is considered the most difficult to gain admission to in China?,Medicine,ACCEPT,Medicine,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ji-ko-39,What is the most commonly learned musical instrument by elementary school students in China?,Piano,ACCEPT,Piano,"The piano is a commonly learned musical instrument among elementary school students in China, and the English is simple and easy to understand."
Ji-ko-40,What do high school students typically do during break time in schools in China?,"They usually study, chat with friends, or play games on their phones.",ACCEPT,"They usually study, chat with friends, or play games on their phones.",The answer is culturally appropriate and typical for high school students in China. The English is simple and easy to understand.
Ji-ko-41,What kind of shoes do students wear in schools in China?,Sneakers,ACCEPT,Sneakers,Sneakers are a common and culturally appropriate choice of footwear for students in schools in China.
Ji-ko-42,What are the required subjects in China's university entrance exam?,"Chinese, Mathematics, English, and a choice between Science (Physics, Chemistry, Biology) and Humanities (Politics, History, Geography).",ACCEPT,"Chinese, Mathematics, English, and a choice between Science (Physics, Chemistry, Biology) and Humanities (Politics, History, Geography).","The answer correctly lists the required subjects for China's university entrance exam and uses simple, clear English."
Ji-ko-44,Which region (within a city) in China has the highest academic fervor?,Haidian District in Beijing,ACCEPT,Haidian District in Beijing,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ji-ko-45,What do people look forward to the most at university festivals in China?,Performances and food stalls,ACCEPT,Performances and food stalls,"The answer is culturally appropriate and typical for university festivals in China, and the English is simple and easy to understand."
Jo-sp-01,What is the second most popular sport in China?,Basketball,ACCEPT,Basketball,"Basketball is indeed very popular among young people in China, second only to table tennis."
Jo-sp-02,What is the most popular sport played without a ball in China?,Badminton,ACCEPT,Badminton,Badminton is a popular sport in China and the English is simple and easy to understand.
Jo-sp-09,What sports are most associated with the upper class in China?,Golf and Tennis,ACCEPT,Golf and Tennis,The answer is culturally appropriate as golf and tennis are associated with the upper class in China. The English is simple and easy to understand.
Jo-sp-13,What is the most popular water sport in China?,Swimming,ACCEPT,Swimming,Swimming is a popular water sport in China and the English is simple and easy to understand.
Jo-sp-14,What is the most popular mental sport in China?,Go (Weiqi),ACCEPT,Go (Weiqi),The answer 'Go (Weiqi)' is culturally appropriate and typical in China as Go is a very popular mental sport. The English is simple and easy to understand.
Jo-sp-18,"How many holiday days per year does a standard worker gets in China? (Provide Arabic numerals (e.g., 12) only.)",11,ACCEPT,11,The answer is culturally appropriate and typical for China. The English is simple and easy to understand.
Jo-sp-19,What region in China has been traditionally associated with agriculture?,North China Plain,REVISE,The Yangtze River Delta,The Yangtze River Delta is more associated with industry and commerce rather than traditional agriculture.
Jo-sp-21,"What time, if any, do people usually leave work for lunch in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",12:00,ACCEPT,12:00,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Jo-sp-31,"What time do high school students tend to leave school in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",17:00,ACCEPT,17:00,The answer is culturally appropriate and typical for high school students in China. The English is simple and easy to understand.
Jo-sp-32,What sport do elementary school students tend to practice at school in China?,Table Tennis,ACCEPT,Table Tennis,Table Tennis is a culturally appropriate and typical sport practiced by elementary school students in China.
Jo-sp-36,"How long (in weeks) are summer vacations at elementary schools in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",8,ACCEPT,8,"The answer is culturally appropriate and typical for China, and the English is simple and easy to understand."
Jo-sp-37,"How long (in weeks) are summer vacations at universities in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",8,ACCEPT,8,"The answer is culturally appropriate and typical for summer vacations at universities in China, and the English is simple and easy to understand."
Jo-sp-39,"At what age does elementary education begin in China? (Provide in Arabic numerals (e.g., 7, 8) only.)",6,ACCEPT,6,"The answer is culturally appropriate and typical for China, and the English is simple and easy to understand."
Jo-sp-43,"How many languages are studied in elementary education besides China's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)",1,ACCEPT,1,The answer is culturally appropriate as English is commonly studied in elementary education in China.
Jod-ch-01,What eating utensils do people commonly used in China?,Chopsticks,ACCEPT,Chopsticks,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Jod-ch-04,What soft drink do people in China like to have?,Coca-Cola,REVISE,Wang Lao Ji (herbal tea),Wang Lao Ji is a popular herbal tea but not typically referred to as a soft drink. Common soft drinks include international brands.
Jod-ch-06,What is the most popular traditional alcohol in China?,Baijiu,ACCEPT,Baijiu,"Baijiu is a culturally appropriate and typical traditional alcohol in China, and the English is simple and easy to understand."
Jod-ch-07,"How long (in hours) on average does it take for people in China to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",1.5,ACCEPT,1.5,The answer is culturally appropriate and typical for China. The English is simple and easy to understand.
Jod-ch-09,"What time do people usually have dinner in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",18:00,ACCEPT,18:00,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Jod-ch-12,What kind of soup do people from China like to have?,Hot and sour soup,ACCEPT,Hot and sour soup,Hot and sour soup is a popular and culturally appropriate dish in China. The English is simple and easy to understand.
Jod-ch-13,What street food do people from China like to eat?,Jianbing (Chinese crepes),ACCEPT,Jianbing (Chinese crepes),"Jianbing is a popular and culturally appropriate street food in China, and the English is simple and easy to understand."
Jod-ch-15,What kind of seafood do people from China like to eat?,"Shrimp, crab, and fish.",ACCEPT,"Shrimp, crab, and fish.","The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Jod-ch-16,What is the biggest festival in China?,Chinese New Year,ACCEPT,Chinese New Year,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Jod-ch-28,What is the most commonly used public transport by people when travelling between cites in China?,High-speed train,ACCEPT,High-speed train,The answer is culturally appropriate and typical in China. High-speed trains are a common mode of transport between cities.
Jod-ch-30,What are the specific decorations or symbols associated with the most biggest festival in China?,"Red lanterns, couplets, dragon and lion dances, and the character ""Fu"" which means fortune.",ACCEPT,"Red lanterns, couplets, dragon and lion dances, and the character ""Fu"" which means fortune.","The answer is culturally appropriate and typical for the Chinese Lunar New Year, and the English is simple and easy to understand."
Jod-ch-37,What sports do women like to watch the most in China?,Basketball and badminton,ACCEPT,Basketball and badminton,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Jod-ch-38,What sports do men like to watch the most in China?,Soccer and Basketball,ACCEPT,Soccer and Basketball,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Jod-ch-41,What is the common leisure activity that females in their 20s in China engage in?,Shopping and karaoke.,ACCEPT,Shopping and karaoke.,"The answer is culturally appropriate and typical for young females in China, and the English is simple and easy to understand."
Jod-ch-42,What is the common leisure activity that males in their 20s in China engage in?,Playing video games,ACCEPT,Playing video games,The answer is culturally appropriate and typical for young males in China. The English is simple and easy to understand.
Jod-ch-46,"How long (in hours) do people usually take a break after lunch on a weekday in China? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)",1.5,REVISE,2,"The typical lunch break in China is usually around 1 to 1.5 hours, not 2 hours."
Jod-ch-48,What do people eat for lunch during the working days in China?,Rice or noodles with vegetables and meat.,ACCEPT,Rice or noodles with vegetables and meat.,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Jod-ch-50,"What is the average commute time (in minutes) for people in China? (Provide Arabic numerals (e.g., 1) only.)",52,ACCEPT,52,"The answer is culturally appropriate and typical for China, and the English is simple and easy to understand."
Jod-ch-51,What is the most common transportation that people take to get to work in China?,Public bus or subway,ACCEPT,Public bus or subway,The answer is culturally appropriate as public buses and subways are common modes of transportation for commuting in China. The English is simple and easy to understand.
Jod-ch-54,"How long (in days) is the marriage leave in China? (Provide Arabic numerals (e.g., 12) only.)",3,ACCEPT,3,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Jod-ch-56,"What is the typical retirement age for women in China? (Provide Arabic numerals (e.g., 12) only.)",55,REVISE,60,"The typical retirement age for women in China is 55, not 60."
Jod-ch-57,"What is the typical retirement age for men in China? (Provide Arabic numerals (e.g., 12) only.)",60,ACCEPT,60,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Jod-ch-58,Which profession is the most respected in China?,Doctor,ACCEPT,Doctor,"The answer is culturally appropriate as doctors are highly respected in China, and the English is simple and easy to understand."
Jod-ch-60,What is the duration (in hours) of a typical workday in China? (Provide Arabic numerals (0~24) only.),8,ACCEPT,8,"The answer is culturally appropriate and typical for a workday in China, and the English is simple and easy to understand."
Jod-ch-61,Which occupation is most preferred among females in China?,Teacher,ACCEPT,Teacher,The occupation of 'teacher' is culturally appropriate and typical among females in China. The English is simple and easy to understand.
Jod-ch-62,Which occupation is most preferred among males in China?,Engineer,ACCEPT,Engineer,"The occupation of engineer is culturally appropriate and typical among males in China, and the English is simple and easy to understand."
Ki-pe-17,"On average, how far do students typically pursue their education in China? (e.g., elementary, high school)",Most students pursue their education up to university level.,ACCEPT,Most students pursue their education up to university level.,"The answer is culturally appropriate as many students in China pursue education up to university level, and the English is simple and easy to understand."
Ki-pe-24,What language is taught in schools in China besides English?,Chinese,REVISE,Japanese,Japanese is not a typical language taught in schools across China besides English.
Ki-pe-30,What days of the week are schools closed in China?,Saturday and Sunday,ACCEPT,Saturday and Sunday,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ki-pe-32,What food do the hosts usually prepare for the guests in China?,Dumplings or Peking Duck,ACCEPT,Dumplings or Peking Duck,The answer is culturally appropriate and typical in China. Dumplings and Peking Duck are common foods prepared for guests.
Ki-pe-34,What is the usual drink in the breakfast in China?,Soy milk,ACCEPT,Soy milk,"Soy milk is a common and culturally appropriate breakfast drink in China, and the English is simple and easy to understand."
Ki-pe-36,"Except the food original from China, which country's food is more popular in China?",Japanese food,ACCEPT,Japanese food,Japanese food is indeed popular in China and the English is simple and easy to understand.
Ki-pe-39,What food is usually prepared for a family picnic in China?,Rice balls and dumplings,ACCEPT,Rice balls and dumplings,The answer is culturally appropriate and typical for a family picnic in China. The English is simple and easy to understand.
Ki-pe-40,Which food from China is considered disgusting by the rest of the world?,Century eggs,ACCEPT,Century eggs,The answer is culturally appropriate as century eggs are a traditional Chinese food that is often considered unusual by people unfamiliar with it. The English is simple and easy to understand.
Ki-pe-43,What is the name of the popular bread in China?,Mantou,ACCEPT,Mantou,"Mantou is a culturally appropriate and typical type of bread in China, and the English is simple and easy to understand."
Ki-pe-51,"What time of day are government offices closed in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",17:00,ACCEPT,17:00,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Ki-pe-53,"What is the normal start time of government offices in China? (Provide in HH:MM format (e.g., 18:00, 09:00).)",08:30,ACCEPT,08:30,The answer is culturally appropriate and typical for government office start times in China. The English is simple and easy to understand.
Kik-in-01,What national holiday has the longest duration in China?,Chinese New Year,ACCEPT,Chinese New Year,The answer is culturally appropriate as Chinese New Year is the longest national holiday in China.
Kik-in-02,What are the common activities people from China do to celebrate Independence day?,China does not celebrate Independence Day.,ACCEPT,China does not celebrate Independence Day.,The answer is culturally appropriate as China does not have an Independence Day.
Kik-in-04,What is installed in front of the house when a family member dies in China?,A white mourning banner,ACCEPT,A white mourning banner,The answer is culturally appropriate and typical in China. The English is simple and easy to understand.
Kik-in-05,When is a pregnancy celebration or ceremony usually held in China?,After birth,REVISE,The third month of pregnancy,"In China, pregnancy celebrations are not typically held in the third month. Baby showers or celebrations are more common after the baby is born."
Kik-in-06,What event is usually held before a wedding in China?,Tea Ceremony,ACCEPT,Tea Ceremony,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Kik-in-07,What is usually shared to the children during (Lunar) New Year in China?,Red envelopes with money,ACCEPT,Red envelopes with money,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Kik-in-08,What activities are usually done days before Ramadan in China?,Not common,REVISE,Preparing halal food and cleaning the house.,"The answer is not typical for China as Ramadan is not widely observed. The English is simple, but the activities are not common in China."
Kik-in-10,What is the most popular tourist attraction for foreign visitors in China?,The Great Wall of China,ACCEPT,The Great Wall of China,The Great Wall of China is a culturally appropriate and typical answer for the most popular tourist attraction in China. The English is simple and easy to understand.
Kik-in-11,"What is the most popular religious sites (temple, church, etc.) for tourism in China?",Shaolin Temple,REVISE,The Forbidden City,The Forbidden City is not a religious site; it is a historical and cultural site. A more appropriate answer would be a famous temple or religious site.
Kik-in-15,What clothes do women usually wear on graduation commencement ceremony in China?,Academic gown and cap,ACCEPT,Academic gown and cap,The answer is culturally appropriate and typical for graduation ceremonies in China. The English is simple and easy to understand.
Kik-in-16,What drink is commonly consumed in China when the weather is cold?,Hot tea,ACCEPT,Hot tea,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Kik-in-17,What fruit is more commonly sold and found during Ramadan in China?,Dates,ACCEPT,Dates,Dates are commonly associated with Ramadan and are available in China during this time.
Kik-in-24,What carbohydrate is usually served with chicken in a fast-food restaurant in China?,Rice,ACCEPT,Rice,Rice is a culturally appropriate and typical carbohydrate served with chicken in fast-food restaurants in China. The English is simple and easy to understand.
Kik-in-31,What is the most famous martial art sports in China?,Kung Fu,ACCEPT,Kung Fu,Kung Fu is a culturally appropriate and widely recognized martial art in China. The English is simple and easy to understand.
Kik-in-34,What sports are often broadcasted on national television in China?,"Football, basketball, and table tennis.",ACCEPT,"Football, basketball, and table tennis.","The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Kik-in-35,What sports were popular among people from China during the COVID-19 pandemic?,Table tennis and badminton,ACCEPT,Table tennis and badminton,"The answer is culturally appropriate and typical in China, and the English is simple and easy to understand."
Kik-in-36,Who is the most popular soccer coach in China?,Marcello Lippi,REVISE,Li Tie,Li Tie is not the most popular soccer coach in China currently.
